@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.284,1.099,2.571,-0.796,0.434,0
0.481,2.58,1.476,0.789,-0.24,0
0.279,0.892,2.474,-0.53,-0.307,0
1.349,2.589,-0.44,0.251,0.441,0
0.5,1.762,1.223,0.454,-0.18,0
2.089,0.672,-0.1,0.078,0.065,0
0.693,3.104,-0.387,0.303,0.78,0
3.509,0.553,0.27,0.607,-0.161,0
0.584,2.86,0.78,1.045,-0.379,0
1.351,2.481,1.044,0.572,-0.183,0
0.624,2.416,0.755,0.399,-0.297,0
0.178,0.767,1.783,1.268,0.0,0
1.115,2.261,-0.346,0.275,-0.156,0
0.231,1.25,1.936,-0.53,-0.497,0
0.213,1.448,0.992,0.338,0.0,0
0.157,0.985,2.493,-0.747,0.0,0
0.634,2.292,0.884,-0.353,0.193,0
0.469,2.577,1.527,0.771,-0.241,0
0.403,1.803,1.168,0.516,-0.229,0
0.239,0.883,2.657,-0.735,0.544,0
2.938,0.357,1.369,-0.287,-0.131,0
1.781,1.57,-0.209,-0.115,0.086,0
0.821,3.104,-0.475,0.845,-0.233,0
0.829,1.838,-0.381,0.24,-0.269,0
0.256,1.733,1.359,0.77,0.0,0
2.839,1.081,0.315,-0.237,0.313,0
3.47,0.572,0.425,-0.117,-0.062,0
3.151,0.54,0.227,0.216,-0.061,0
0.308,1.204,1.5,0.569,-0.32,0
0.243,1.585,1.824,1.145,1.123,0
0.121,0.718,0.396,0.716,0.0,0
2.026,1.547,-0.264,-0.085,0.088,0
2.163,0.875,0.376,-0.095,-0.06,0
2.935,-0.233,-0.109,0.077,0.063,0
2.884,1.03,0.349,0.219,-0.236,0
0.483,2.187,1.504,0.606,-0.255,0
0.666,1.858,1.334,-0.432,-0.502,0
3.516,-0.361,0.173,0.084,0.069,0
0.323,1.208,2.573,-0.702,-0.433,0
0.982,2.68,-0.574,0.265,0.168,0
