@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.324,1.101,2.536,1.192,-0.406,0
0.331,2.335,-0.436,0.302,-0.117,0
1.037,1.78,-0.256,-0.107,0.097,0
2.586,0.614,0.19,0.162,0.101,0
0.171,0.913,0.815,1.027,-0.347,0
0.859,3.003,-0.501,0.827,-0.234,0
2.061,1.922,-0.293,0.174,0.114,0
0.317,0.804,1.952,-0.885,-0.378,0
0.456,2.315,1.872,0.703,-0.293,0
0.213,1.032,2.25,-0.676,0.0,0
1.467,0.76,-0.14,0.107,0.08,0
1.041,2.6,-0.384,-0.157,-0.107,0
1.093,1.612,-0.366,0.528,0.511,0
0.452,2.226,-0.355,-0.161,-0.096,0
0.492,1.782,1.24,0.448,0.192,0
0.493,2.278,0.537,1.631,-0.415,0
0.221,1.321,1.726,-0.503,-0.229,0
3.597,0.63,0.352,0.407,-0.137,0
0.267,1.687,2.051,-0.63,0.0,0
0.487,1.592,1.754,0.688,-0.41,0
0.947,2.776,0.745,0.853,-0.224,0
2.734,0.495,-0.106,0.07,0.051,0
1.21,1.811,0.896,0.463,0.301,0
3.287,0.685,0.277,0.871,-0.201,0
0.345,1.987,1.372,0.678,-0.254,0
1.757,0.972,0.866,1.579,-0.45,0
3.144,-0.268,0.164,0.12,-0.114,0
0.796,0.545,1.334,2.268,-0.653,0
0.277,1.136,2.468,-0.763,-0.41,0
0.556,3.451,-0.597,-0.245,-0.153,0
2.708,0.54,-0.143,-0.084,0.139,0
0.229,0.998,2.236,-0.651,-0.296,0
0.252,1.139,3.111,-0.832,0.0,0
1.26,0.695,-0.122,0.112,0.109,0
0.347,2.408,0.624,0.347,-0.311,0
0.648,0.484,0.776,1.913,-0.599,0
1.21,2.399,-0.493,0.288,-0.15,0
0.091,0.592,0.613,0.858,0.868,0
2.652,0.972,0.252,0.083,-0.052,0
0.3,1.64,2.633,-0.795,0.0,0
0.966,2.283,0.617,1.456,-0.431,0
1.461,1.555,0.384,0.271,0.149,0
0.09,0.361,0.63,-0.87,0.0,0
0.351,1.331,1.073,0.488,-0.213,0
0.174,0.453,0.97,1.701,-0.601,0
-0.188,1.167,2.054,-0.745,-0.373,0
0.418,2.138,1.839,0.707,-0.337,0
1.532,1.411,0.457,0.28,-0.155,0
1.064,-1.012,-0.546,1.599,-0.583,0
1.889,1.009,0.479,0.366,-0.179,0
0.191,0.519,0.724,2.156,-0.758,0
0.148,0.495,1.125,0.907,0.82,0
0.374,1.266,2.692,1.077,-0.376,0
0.6,0.791,2.006,0.733,0.348,0
1.839,0.735,0.208,0.143,-0.075,0
1.454,1.226,-0.265,0.1,-0.054,0
0.899,2.96,-0.474,-0.203,-0.144,0
0.55,1.931,-0.482,-0.207,-0.128,0
1.586,2.256,-0.352,0.196,-0.224,0
0.913,2.728,-0.394,0.492,0.686,0
