@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.614,2.482,1.234,0.553,-0.184,0
2.99,0.309,-0.153,-0.171,-0.13,0
2.146,0.439,0.159,0.129,-0.139,0
3.222,0.51,-0.151,0.16,-0.06,0
0.229,1.09,-0.266,0.525,0.0,0
0.313,1.268,2.852,-0.841,-0.445,0
0.094,0.382,0.268,-0.469,1.029,0
1.117,2.55,-0.458,-0.222,-0.135,0
0.229,0.452,0.523,1.469,1.046,0
0.635,1.895,-0.488,0.204,-0.116,0
0.284,1.152,2.329,1.276,0.0,0
1.053,2.205,-0.379,-0.183,-0.118,0
0.104,0.496,1.126,-0.401,-0.371,0
0.128,0.351,0.582,2.105,-0.626,0
1.301,2.591,-0.415,-0.246,-0.286,0
0.115,0.444,-0.433,2.178,0.0,0
0.679,2.033,1.022,1.162,-0.432,0
0.504,2.248,1.15,0.412,-0.189,0
0.103,0.433,0.544,2.012,0.0,0
1.247,1.233,2.209,-0.468,-0.183,0
2.829,1.492,-0.281,0.337,0.359,0
0.461,1.913,0.667,0.247,-0.095,0
0.14,0.847,2.251,-0.703,-0.562,0
2.095,0.869,-0.134,0.102,0.103,0
2.342,0.498,0.256,0.1,0.076,0
0.536,1.153,1.271,-0.303,0.253,0
0.155,0.799,1.515,1.596,0.0,0
2.881,0.896,0.495,0.475,-0.113,0
2.996,0.619,0.134,-0.067,-0.032,0
0.1,0.28,0.501,-0.186,0.529,0
0.27,2.186,0.949,-0.248,0.219,0
2.259,1.52,-0.264,-0.145,-0.08,0
0.273,1.03,1.515,0.792,0.411,0
2.509,0.448,1.68,-0.387,-0.146,0
2.237,1.288,0.45,0.442,-0.23,0
0.874,3.03,-0.496,0.243,0.48,0
0.182,0.933,2.414,0.965,-0.41,0
2.456,0.964,0.686,0.849,-0.257,0
0.273,1.758,0.817,0.332,0.162,0
0.565,1.975,-0.544,-0.264,-0.239,0
2.416,0.88,-0.137,0.094,-0.035,0
0.091,0.283,0.337,0.456,0.0,0
1.347,2.597,-0.453,-0.2,-0.113,0
3.466,0.481,-0.134,0.109,0.077,0
3.461,0.457,-0.111,-0.068,-0.042,0
1.188,2.725,-0.47,-0.186,0.39,0
0.593,2.307,0.632,0.378,0.0,0
0.307,1.272,2.656,-0.946,-0.467,0
0.317,1.318,1.996,-0.616,0.472,0
1.601,1.79,-0.298,-0.127,-0.073,0
0.232,2.627,0.687,1.597,-0.482,0
0.479,2.219,2.076,-0.524,-0.247,0
1.198,2.258,0.673,-0.462,0.786,0
0.295,1.277,2.28,-0.574,0.0,0
0.531,3.435,-0.592,-0.239,-0.165,0
0.24,1.068,2.387,-0.747,-0.297,0
0.996,1.283,0.315,-0.108,0.078,0
0.181,1.099,0.81,1.203,0.0,0
3.229,0.694,0.27,-0.258,0.607,0
0.929,2.558,-0.44,-0.369,0.716,0
2.327,2.156,-0.272,-0.142,-0.084,0
3.348,-0.276,-0.111,-0.07,-0.053,0
0.215,1.196,0.913,1.121,-0.47,0
0.66,2.362,-0.544,0.298,0.15,0
0.83,1.972,-0.46,-0.185,0.0,0
0.274,0.88,1.883,1.361,-0.453,0
0.442,2.439,-0.453,-0.226,-0.117,0
1.181,1.305,0.7,1.809,-0.498,0
