@RELATION myRel

@ATTRIBUTE Band1 NUMERIC
@ATTRIBUTE Band2 NUMERIC
@ATTRIBUTE Band3 NUMERIC
@ATTRIBUTE Band4 NUMERIC
@ATTRIBUTE Band5 NUMERIC
@ATTRIBUTE Band6 NUMERIC
@ATTRIBUTE Band7 NUMERIC
@ATTRIBUTE Band8 NUMERIC
@ATTRIBUTE Band9 NUMERIC
@ATTRIBUTE Band10 NUMERIC
@ATTRIBUTE Band11 NUMERIC
@ATTRIBUTE Band12 NUMERIC
@ATTRIBUTE Band13 NUMERIC
@ATTRIBUTE Band14 NUMERIC
@ATTRIBUTE Band15 NUMERIC
@ATTRIBUTE Band16 NUMERIC
@ATTRIBUTE Band17 NUMERIC
@ATTRIBUTE Band18 NUMERIC
@ATTRIBUTE Band19 NUMERIC
@ATTRIBUTE Band20 NUMERIC
@ATTRIBUTE Band21 NUMERIC
@ATTRIBUTE Band22 NUMERIC
@ATTRIBUTE Band23 NUMERIC
@ATTRIBUTE Band24 NUMERIC
@ATTRIBUTE Band25 NUMERIC
@ATTRIBUTE Band26 NUMERIC
@ATTRIBUTE Band27 NUMERIC
@ATTRIBUTE Band28 NUMERIC
@ATTRIBUTE Band29 NUMERIC
@ATTRIBUTE Band30 NUMERIC
@ATTRIBUTE Band31 NUMERIC
@ATTRIBUTE Band32 NUMERIC
@ATTRIBUTE Band33 NUMERIC
@ATTRIBUTE Band34 NUMERIC
@ATTRIBUTE Band35 NUMERIC
@ATTRIBUTE Band36 NUMERIC
@ATTRIBUTE Band37 NUMERIC
@ATTRIBUTE Band38 NUMERIC
@ATTRIBUTE Band39 NUMERIC
@ATTRIBUTE Band40 NUMERIC
@ATTRIBUTE Band41 NUMERIC
@ATTRIBUTE Band42 NUMERIC
@ATTRIBUTE Band43 NUMERIC
@ATTRIBUTE Band44 NUMERIC
@ATTRIBUTE Band45 NUMERIC
@ATTRIBUTE Band46 NUMERIC
@ATTRIBUTE Band47 NUMERIC
@ATTRIBUTE Band48 NUMERIC
@ATTRIBUTE Band49 NUMERIC
@ATTRIBUTE Band50 NUMERIC
@ATTRIBUTE Band51 NUMERIC
@ATTRIBUTE Band52 NUMERIC
@ATTRIBUTE Band53 NUMERIC
@ATTRIBUTE Band54 NUMERIC
@ATTRIBUTE Band55 NUMERIC
@ATTRIBUTE Band56 NUMERIC
@ATTRIBUTE Band57 NUMERIC
@ATTRIBUTE Band58 NUMERIC
@ATTRIBUTE Band59 NUMERIC
@ATTRIBUTE Band60 NUMERIC
@ATTRIBUTE Type {R, M}

@DATA
0.044,0.045,0.024,0.101,0.225,0.261,0.206,0.167,0.18,0.308,0.379,0.536,0.617,0.784,0.839,0.902,1.0,0.891,0.875,0.789,0.716,0.758,0.637,0.321,0.208,0.228,0.331,0.285,0.195,0.167,0.102,0.136,0.221,0.112,0.168,0.104,0.256,0.262,0.224,0.118,0.11,0.283,0.238,0.026,0.197,0.148,0.043,0.063,0.051,0.047,0.025,0.027,0.02,0.014,0.018,0.006,0.004,0.012,0.015,0.01,M
0.053,0.056,0.122,0.121,0.025,0.102,0.054,0.044,0.229,0.163,0.254,0.281,0.301,0.336,0.302,0.228,0.291,0.132,0.115,0.34,0.556,0.638,0.655,0.738,0.653,0.542,0.688,0.732,0.773,0.823,0.879,0.911,0.67,0.609,0.75,0.478,0.167,0.375,0.378,0.211,0.589,0.563,0.258,0.524,0.615,0.512,0.338,0.15,0.055,0.027,0.038,0.034,0.015,0.034,0.038,0.017,0.013,0.01,0.036,0.021,M
0.032,0.01,0.03,0.056,0.076,0.096,0.099,0.102,0.103,0.215,0.308,0.342,0.299,0.14,0.124,0.153,0.19,0.243,0.212,0.24,0.327,0.595,0.83,0.904,0.989,0.991,0.945,1.0,0.909,0.741,0.769,0.712,0.53,0.213,0.093,0.13,0.116,0.123,0.177,0.034,0.156,0.082,0.115,0.169,0.095,0.008,0.079,0.126,0.065,0.018,0.005,0.006,0.009,0.014,0.006,0.006,0.003,0.003,0.006,0.007,M
0.109,0.128,0.093,0.123,0.128,0.173,0.195,0.426,0.683,0.576,0.473,0.236,0.102,0.29,0.471,0.466,0.142,0.085,0.326,0.901,0.931,0.486,0.135,0.16,0.274,0.561,0.365,0.614,0.547,0.847,0.564,0.544,0.509,0.625,0.85,0.841,0.842,0.914,0.771,0.488,0.372,0.447,0.459,0.449,0.562,0.43,0.094,0.079,0.027,0.015,0.014,0.046,0.021,0.008,0.012,0.017,0.01,0.02,0.018,0.019,M
0.026,0.036,0.014,0.027,0.021,0.034,0.066,0.14,0.184,0.235,0.272,0.244,0.166,0.034,0.13,0.171,0.218,0.318,0.371,0.455,0.57,0.74,0.806,0.884,0.943,1.0,0.938,0.76,0.712,0.836,0.762,0.457,0.172,0.155,0.164,0.187,0.266,0.171,0.096,0.077,0.085,0.208,0.25,0.186,0.144,0.147,0.099,0.004,0.015,0.012,0.018,0.015,0.013,0.005,0.004,0.006,0.004,0.004,0.006,0.012,M
0.021,0.019,0.041,0.032,0.07,0.158,0.144,0.14,0.305,0.391,0.35,0.367,0.394,0.331,0.333,0.3,0.232,0.138,0.345,0.443,0.489,0.368,0.438,0.486,0.621,0.726,0.662,0.769,0.798,0.858,0.927,0.701,0.485,0.341,0.141,0.115,0.143,0.182,0.36,0.553,0.599,0.508,0.551,0.503,0.703,0.59,0.407,0.276,0.158,0.051,0.005,0.008,0.02,0.01,0.004,0.003,0.006,0.009,0.007,0.004,M
0.037,0.059,0.063,0.053,0.026,0.142,0.207,0.273,0.307,0.26,0.348,0.4,0.457,0.595,0.792,0.827,0.809,0.898,0.983,0.898,0.889,0.937,0.912,0.794,0.672,0.632,0.486,0.339,0.483,0.382,0.308,0.127,0.074,0.151,0.191,0.182,0.171,0.095,0.283,0.301,0.16,0.148,0.288,0.205,0.106,0.14,0.106,0.053,0.04,0.018,0.035,0.012,0.006,0.024,0.003,0.009,0.012,0.011,0.01,0.013,M
0.016,0.02,0.02,0.039,0.075,0.144,0.149,0.148,0.244,0.282,0.369,0.375,0.393,0.331,0.108,0.114,0.345,0.544,0.647,0.728,0.789,0.826,0.87,0.784,0.714,0.57,0.291,0.464,0.641,0.74,0.807,0.842,1.0,0.954,0.676,0.39,0.125,0.363,0.636,0.812,0.766,0.542,0.261,0.172,0.281,0.276,0.198,0.15,0.122,0.049,0.003,0.008,0.003,0.003,0.008,0.002,0.008,0.011,0.008,0.003,M
0.012,0.007,0.028,0.058,0.092,0.127,0.158,0.193,0.236,0.217,0.118,0.075,0.278,0.376,0.509,0.659,0.707,0.753,0.836,0.859,0.962,0.984,0.87,0.64,0.507,0.54,0.693,0.849,0.821,0.596,0.295,0.276,0.288,0.189,0.145,0.096,0.089,0.084,0.089,0.155,0.232,0.222,0.104,0.172,0.202,0.179,0.111,0.04,0.03,0.008,0.004,0.005,0.003,0.002,0.001,0.003,0.002,0.006,0.003,0.005,M
0.03,0.069,0.099,0.102,0.08,0.063,0.013,0.081,0.176,0.1,0.052,0.09,0.266,0.31,0.352,0.389,0.396,0.245,0.236,0.304,0.311,0.47,0.553,0.453,0.446,0.467,0.462,0.699,0.763,0.702,0.738,0.745,0.793,0.523,0.397,0.304,0.131,0.241,0.178,0.16,0.566,0.644,0.424,0.457,0.576,0.529,0.329,0.128,0.07,0.033,0.034,0.046,0.028,0.017,0.009,0.005,0.02,0.013,0.012,0.002,M
0.002,0.019,0.029,0.02,0.052,0.082,0.1,0.012,0.117,0.148,0.212,0.258,0.235,0.133,0.009,0.195,0.368,0.465,0.542,0.626,0.742,0.826,0.861,0.84,0.895,0.994,1.0,0.965,0.875,0.626,0.218,0.294,0.364,0.501,0.784,0.936,0.82,0.621,0.451,0.3,0.267,0.224,0.314,0.369,0.299,0.223,0.085,0.036,0.029,0.012,0.004,0.011,0.008,0.009,0.004,0.003,0.001,0.001,0.003,0.005,M
0.042,0.032,0.071,0.011,0.107,0.097,0.096,0.132,0.246,0.27,0.341,0.429,0.368,0.394,0.296,0.317,0.282,0.305,0.241,0.542,0.68,0.632,0.582,0.68,0.598,0.841,0.991,0.919,0.8,0.671,0.563,0.733,0.604,0.258,0.035,0.18,0.304,0.476,0.576,0.425,0.505,0.718,0.616,0.566,0.575,0.359,0.253,0.23,0.127,0.036,0.037,0.018,0.004,0.009,0.012,0.008,0.006,0.002,0.004,0.002,M
0.033,0.042,0.047,0.082,0.084,0.076,0.037,0.096,0.055,0.019,0.09,0.173,0.194,0.28,0.331,0.502,0.636,0.71,0.833,0.873,0.807,0.751,0.753,0.73,0.618,0.495,0.453,0.41,0.454,0.412,0.314,0.319,0.369,0.378,0.447,0.478,0.472,0.466,0.389,0.426,0.406,0.371,0.386,0.28,0.128,0.112,0.13,0.079,0.044,0.022,0.013,0.008,0.017,0.018,0.004,0.013,0.007,0.004,0.013,0.009,M
0.043,0.056,0.071,0.062,0.122,0.152,0.154,0.039,0.061,0.011,0.126,0.247,0.301,0.375,0.452,0.539,0.659,0.711,0.76,0.867,0.842,0.797,0.838,0.932,0.856,0.616,0.414,0.327,0.311,0.255,0.337,0.446,0.5,0.511,0.519,0.462,0.423,0.437,0.428,0.443,0.37,0.332,0.256,0.253,0.214,0.179,0.101,0.053,0.045,0.012,0.001,0.014,0.018,0.008,0.006,0.013,0.009,0.008,0.011,0.005,M
0.026,0.007,0.034,0.079,0.104,0.078,0.142,0.118,0.045,0.094,0.113,0.084,0.072,0.197,0.263,0.419,0.505,0.671,0.792,0.838,0.876,0.942,1.0,0.993,0.958,0.865,0.722,0.58,0.496,0.489,0.408,0.244,0.177,0.247,0.352,0.376,0.291,0.231,0.317,0.355,0.374,0.444,0.326,0.196,0.086,0.169,0.199,0.122,0.063,0.032,0.025,0.021,0.026,0.018,0.004,0.007,0.012,0.008,0.008,0.007,M
0.02,0.012,0.038,0.013,0.054,0.087,0.102,0.085,0.114,0.175,0.22,0.272,0.21,0.173,0.204,0.179,0.132,0.226,0.236,0.311,0.391,0.363,0.481,0.653,0.781,0.84,0.918,0.977,0.894,0.702,0.65,0.507,0.39,0.301,0.156,0.098,0.22,0.224,0.274,0.215,0.244,0.315,0.211,0.099,0.059,0.194,0.194,0.108,0.034,0.018,0.021,0.013,0.009,0.005,0.004,0.004,0.003,0.004,0.001,0.002,M
0.064,0.071,0.045,0.033,0.018,0.126,0.102,0.192,0.336,0.39,0.467,0.563,0.551,0.434,0.305,0.349,0.398,0.388,0.528,0.72,0.77,0.856,0.869,0.924,1.0,0.966,0.982,0.736,0.416,0.292,0.328,0.369,0.345,0.286,0.086,0.372,0.465,0.349,0.182,0.114,0.122,0.262,0.446,0.473,0.326,0.142,0.039,0.041,0.031,0.009,0.015,0.005,0.002,0.009,0.007,0.01,0.009,0.008,0.004,0.005,M
0.018,0.044,0.048,0.07,0.162,0.089,0.06,0.107,0.318,0.292,0.327,0.304,0.303,0.259,0.168,0.131,0.28,0.452,0.664,0.768,0.696,0.439,0.243,0.289,0.497,0.817,1.0,0.924,0.852,0.772,0.577,0.519,0.682,0.622,0.505,0.358,0.381,0.381,0.336,0.277,0.365,0.383,0.345,0.21,0.103,0.08,0.07,0.053,0.024,0.012,0.012,0.012,0.011,0.01,0.003,0.002,0.003,0.005,0.007,0.002,M
0.029,0.012,0.012,0.011,0.05,0.1,0.133,0.112,0.298,0.347,0.423,0.504,0.524,0.44,0.324,0.296,0.329,0.323,0.453,0.634,0.704,0.831,0.845,0.851,0.914,0.998,1.0,0.754,0.466,0.392,0.385,0.467,0.424,0.31,0.075,0.288,0.407,0.317,0.286,0.263,0.054,0.187,0.346,0.465,0.437,0.258,0.132,0.05,0.011,0.006,0.004,0.006,0.01,0.008,0.001,0.005,0.002,0.001,0.008,0.004,M
