@RELATION myRel

@ATTRIBUTE Pulse1 NUMERIC
@ATTRIBUTE Pulse3 NUMERIC
@ATTRIBUTE Pulse4 NUMERIC
@ATTRIBUTE Pulse5 NUMERIC
@ATTRIBUTE Pulse6 NUMERIC
@ATTRIBUTE Pulse7 NUMERIC
@ATTRIBUTE Pulse8 NUMERIC
@ATTRIBUTE Pulse9 NUMERIC
@ATTRIBUTE Pulse10 NUMERIC
@ATTRIBUTE Pulse11 NUMERIC
@ATTRIBUTE Pulse12 NUMERIC
@ATTRIBUTE Pulse13 NUMERIC
@ATTRIBUTE Pulse14 NUMERIC
@ATTRIBUTE Pulse15 NUMERIC
@ATTRIBUTE Pulse16 NUMERIC
@ATTRIBUTE Pulse17 NUMERIC
@ATTRIBUTE Pulse18 NUMERIC
@ATTRIBUTE Pulse19 NUMERIC
@ATTRIBUTE Pulse20 NUMERIC
@ATTRIBUTE Pulse21 NUMERIC
@ATTRIBUTE Pulse22 NUMERIC
@ATTRIBUTE Pulse23 NUMERIC
@ATTRIBUTE Pulse24 NUMERIC
@ATTRIBUTE Pulse25 NUMERIC
@ATTRIBUTE Pulse26 NUMERIC
@ATTRIBUTE Pulse27 NUMERIC
@ATTRIBUTE Pulse28 NUMERIC
@ATTRIBUTE Pulse29 NUMERIC
@ATTRIBUTE Pulse30 NUMERIC
@ATTRIBUTE Pulse31 NUMERIC
@ATTRIBUTE Pulse32 NUMERIC
@ATTRIBUTE Pulse33 NUMERIC
@ATTRIBUTE Pulse34 NUMERIC
@ATTRIBUTE Class {g, b}

@DATA
1.0,0.083,-0.207,-1.0,1.0,-1.0,1.0,0.719,0.472,-0.821,-0.627,-1.0,-1.0,-1.0,1.0,-0.028,0.592,-0.421,-0.421,-0.746,-1.0,-1.0,-0.468,-1.0,0.238,1.0,-1.0,-1.0,-0.389,-1.0,-1.0,-1.0,0.615,b
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.333,0.167,0.26,0.0,0.0,0.0,0.0,0.0,0.0,-0.198,-0.219,-0.167,0.906,-1.0,0.5,0.042,0.75,-0.229,-1.0,-0.125,-0.271,-0.198,-0.938,b
0.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,b
1.0,0.055,0.014,-0.026,0.046,0.014,0.046,-0.078,0.009,0.017,-0.066,-0.037,0.043,-0.083,-0.046,-0.095,0.08,-0.04,0.052,0.02,0.023,-0.037,-0.011,0.032,-0.009,0.009,0.017,0.026,0.011,0.026,0.011,-0.046,-0.006,b
1.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.253,1.0,0.233,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,b
1.0,0.627,-0.078,0.725,0.0,0.608,-0.078,0.627,-0.118,0.686,-0.118,0.667,-0.137,0.647,-0.098,0.549,-0.118,0.549,-0.216,0.588,-0.196,0.667,-0.235,0.451,-0.255,0.524,-0.247,0.569,-0.314,0.431,-0.216,0.471,-0.275,b
0.0,-1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,b
1.0,0.023,-0.006,-0.099,-0.119,-0.008,-0.118,0.147,0.066,0.038,-0.063,0.0,0.0,-0.046,-0.155,-0.003,-0.102,-0.116,-0.054,0.018,0.037,0.015,0.009,0.035,-0.015,-0.032,0.092,-0.079,0.007,0.0,0.0,-0.0,0.12,b
0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,b
0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,b
