@RELATION myRel

@ATTRIBUTE At1 NUMERIC
@ATTRIBUTE At2 NUMERIC
@ATTRIBUTE Class {-1.0, 1.0}

@DATA
2.22,-2.04,-1.0
-2.84,-0.177,-1.0
2.27,0.284,-1.0
-2.37,-0.01,-1.0
1.87,-1.16,-1.0
1.23,2.19,-1.0
-0.826,-1.67,-1.0
0.685,2.2,-1.0
-1.06,-1.54,-1.0
0.515,2.21,-1.0
0.196,-1.71,-1.0
-2.25,0.167,-1.0
1.93,-0.842,-1.0
-2.11,0.193,-1.0
1.8,-1.0,-1.0
-1.97,0.611,-1.0
1.71,-0.945,-1.0
-1.95,0.614,-1.0
1.98,0.417,-1.0
-2.0,0.403,-1.0
1.92,0.0429,-1.0
-1.68,1.08,-1.0
1.86,-0.36,-1.0
-1.78,0.819,-1.0
0.675,-1.53,-1.0
0.811,2.0,-1.0
-0.103,-1.71,-1.0
1.26,1.72,-1.0
-0.864,-1.56,-1.0
-0.0303,2.11,-1.0
-0.566,-1.62,-1.0
0.444,1.99,-1.0
0.215,-1.66,-1.0
0.301,2.01,-1.0
-1.12,-1.39,-1.0
0.335,1.99,-1.0
0.0379,-1.64,-1.0
0.335,1.95,-1.0
-0.808,-1.5,-1.0
0.149,1.98,-1.0
-0.974,-1.43,-1.0
1.07,1.53,-1.0
0.666,-1.52,-1.0
0.127,1.94,-1.0
0.758,-1.45,-1.0
-0.436,1.86,-1.0
-0.878,-1.46,-1.0
0.477,1.83,-1.0
0.0544,-1.59,-1.0
0.179,1.87,-1.0
-0.769,-1.46,-1.0
1.13,1.48,-1.0
-0.791,-1.44,-1.0
0.00356,1.87,-1.0
0.0949,-1.56,-1.0
0.212,1.81,-1.0
0.614,-1.46,-1.0
0.179,1.81,-1.0
-0.791,-1.43,-1.0
0.273,1.79,-1.0
-0.366,-1.52,-1.0
0.0745,1.78,-1.0
-0.476,-1.49,-1.0
1.22,1.35,-1.0
-1.85,0.545,-1.0
1.88,-0.141,-1.0
-1.53,1.21,-1.0
1.72,-0.471,-1.0
-1.62,1.02,-1.0
1.88,0.116,-1.0
-1.74,0.697,-1.0
1.63,-0.56,-1.0
-1.55,1.05,-1.0
1.83,0.349,-1.0
-1.7,-0.087,-1.0
1.71,-0.289,-1.0
-1.66,0.75,-1.0
1.63,-0.43,-1.0
-1.74,0.367,-1.0
1.71,-0.225,-1.0
-1.7,0.422,-1.0
1.64,-0.308,-1.0
-1.6,0.788,-1.0
0.431,-1.46,-1.0
-0.547,1.71,-1.0
-0.0537,-1.52,-1.0
0.619,1.65,-1.0
-1.01,-1.29,-1.0
0.752,1.58,-1.0
-0.35,-1.49,-1.0
-0.643,1.68,-1.0
0.523,-1.38,-1.0
-0.0454,1.75,-1.0
-0.0247,-1.5,-1.0
0.69,1.57,-1.0
-1.25,-1.1,-1.0
0.672,1.57,-1.0
-0.238,-1.49,-1.0
-0.265,1.71,-1.0
0.287,-1.45,-1.0
-0.665,1.61,-1.0
-0.49,-1.45,-1.0
0.393,1.64,-1.0
-1.12,-1.17,-1.0
0.388,1.64,-1.0
-0.832,-1.33,-1.0
0.0346,1.7,-1.0
0.0325,-1.46,-1.0
0.0114,1.66,-1.0
-0.714,-1.36,-1.0
1.03,1.29,-1.0
-1.31,-0.903,-1.0
1.22,1.13,-1.0
-0.786,-1.33,-1.0
0.362,1.59,-1.0
-0.639,-1.37,-1.0
-0.337,1.66,-1.0
0.445,-1.38,-1.0
-0.924,1.45,-1.0
-0.177,-1.45,-1.0
0.121,1.63,-1.0
-0.893,-1.27,-1.0
1.52,0.795,-1.0
-0.886,-1.27,-1.0
0.443,1.54,-1.0
-0.239,-1.42,-1.0
-0.145,1.65,-1.0
-0.19,-1.42,-1.0
0.386,1.55,-1.0
-0.899,-1.25,-1.0
1.4,0.855,-1.0
-1.58,0.807,-1.0
1.63,-0.251,-1.0
-1.62,0.593,-1.0
1.47,-0.531,-1.0
-1.41,1.09,-1.0
1.64,-0.152,-1.0
-1.63,0.293,-1.0
1.54,-0.336,-1.0
-1.55,0.695,-1.0
1.62,-0.0187,-1.0
-1.21,1.27,-1.0
0.431,-1.33,-1.0
-0.394,1.6,-1.0
-0.299,-1.4,-1.0
-0.148,1.6,-1.0
0.295,-1.36,-1.0
-1.08,1.31,-1.0
0.101,-1.39,-1.0
-0.511,1.53,-1.0
-0.237,-1.4,-1.0
0.526,1.48,-1.0
-0.964,-1.17,-1.0
0.314,1.54,-1.0
-0.588,-1.35,-1.0
0.517,1.46,-1.0
-0.658,-1.31,-1.0
-0.00621,1.56,-1.0
-0.396,-1.38,-1.0
0.707,1.37,-1.0
-1.16,-1.01,-1.0
1.66,0.243,-1.0
-1.59,0.176,-1.0
1.59,-0.111,-1.0
-1.55,0.588,-1.0
1.56,-0.177,-1.0
-1.4,0.98,-1.0
1.39,-0.498,-1.0
-1.19,1.23,-1.0
0.308,-1.34,-1.0
-0.843,1.4,-1.0
0.22,-1.36,-1.0
-0.256,1.52,-1.0
-0.566,-1.33,-1.0
0.786,1.31,-1.0
-1.06,-1.07,-1.0
1.34,0.878,-1.0
-0.932,-1.15,-1.0
0.411,1.47,-1.0
-0.31,-1.38,-1.0
0.159,1.51,-1.0
-0.00816,-1.38,-1.0
-0.508,1.48,-1.0
0.465,-1.26,-1.0
-1.24,1.14,-1.0
1.57,-0.0786,-1.0
-1.57,0.378,-1.0
1.57,0.171,-1.0
-1.41,0.894,-1.0
1.45,-0.26,-1.0
-1.39,0.862,-1.0
0.451,-1.23,-1.0
-0.304,1.5,-1.0
-0.254,-1.37,-1.0
0.544,1.41,-1.0
-0.718,-1.25,-1.0
0.535,1.4,-1.0
-0.834,-1.19,-1.0
1.28,0.902,-1.0
-0.817,-1.19,-1.0
0.538,1.38,-1.0
-0.611,-1.28,-1.0
0.0175,1.47,-1.0
-0.0866,-1.37,-1.0
0.00879,1.47,-1.0
-0.0337,-1.36,-1.0
-0.729,1.37,-1.0
-0.116,-1.36,-1.0
0.844,1.22,-1.0
-0.972,-1.06,-1.0
1.33,0.825,-1.0
-0.758,-1.21,-1.0
1.16,0.978,-1.0
-1.06,-0.937,-1.0
1.53,0.0838,-1.0
-1.53,0.39,-1.0
1.46,-0.14,-1.0
-1.51,0.384,-1.0
1.47,-0.0839,-1.0
-1.18,1.17,-1.0
0.233,-1.29,-1.0
-0.236,1.44,-1.0
-0.0776,-1.35,-1.0
-1.14,1.16,-1.0
0.447,-1.18,-1.0
-0.672,1.35,-1.0
-0.488,-1.31,-1.0
0.659,1.28,-1.0
-0.865,-1.1,-1.0
1.11,0.989,-1.0
-0.995,-0.937,-1.0
1.47,-0.0578,-1.0
-1.33,0.897,-1.0
1.42,-0.146,-1.0
-1.25,0.985,-1.0
1.44,-0.0447,-1.0
-1.43,0.245,-1.0
1.24,0.828,-1.0
-0.497,-1.29,-1.0
0.13,1.41,-1.0
-0.292,-1.32,-1.0
-0.636,1.35,-1.0
0.0545,-1.32,-1.0
-0.285,1.39,-1.0
-0.44,-1.3,-1.0
0.637,1.25,-1.0
-0.278,-1.32,-1.0
0.996,1.04,-1.0
-0.843,-1.08,-1.0
0.801,1.14,-1.0
-0.446,-1.28,-1.0
-0.439,1.37,-1.0
0.546,-1.12,-1.0
-0.859,1.26,-1.0
0.48,-1.15,-1.0
-0.58,1.34,-1.0
-0.0373,-1.32,-1.0
-0.375,1.36,-1.0
0.21,-1.26,-1.0
-1.17,1.08,-1.0
1.46,0.0665,-1.0
-1.29,0.891,-1.0
1.45,0.169,-1.0
-1.0,-0.885,-1.0
1.17,0.868,-1.0
-0.903,-0.988,-1.0
1.24,0.79,-1.0
-0.414,-1.28,-1.0
0.639,1.2,-1.0
-0.835,-1.04,-1.0
1.35,0.657,-1.0
-0.82,-1.04,-1.0
0.544,1.22,-1.0
-0.172,-1.31,-1.0
-0.201,1.35,-1.0
-0.36,-1.28,-1.0
0.15,1.3,-1.0
-0.633,-1.18,-1.0
1.16,0.847,-1.0
-0.734,-1.09,-1.0
1.38,0.583,-1.0
-1.37,0.645,-1.0
1.31,-0.238,-1.0
-1.12,1.1,-1.0
0.48,-1.1,-1.0
-0.603,1.3,-1.0
0.178,-1.24,-1.0
-0.376,1.33,-1.0
-0.0936,-1.28,-1.0
-0.734,1.25,-1.0
0.0386,-1.26,-1.0
-0.994,1.14,-1.0
1.25,-0.322,-1.0
-1.34,0.595,-1.0
1.41,0.0907,-1.0
-1.2,0.932,-1.0
1.45,0.273,-1.0
-0.911,-0.908,-1.0
0.554,1.19,-1.0
-0.383,-1.26,-1.0
-0.292,1.32,-1.0
0.0105,-1.26,-1.0
-0.815,1.18,-1.0
-0.31,-1.27,-1.0
0.47,1.21,-1.0
-0.592,-1.17,-1.0
0.813,1.06,-1.0
-0.506,-1.2,-1.0
0.0128,1.29,-1.0
-0.124,-1.27,-1.0
-0.665,1.23,-1.0
0.343,-1.14,-1.0
-1.06,1.03,-1.0
0.26,-1.17,-1.0
-0.265,1.28,-1.0
0.066,-1.23,-1.0
-0.722,1.19,-1.0
-0.0232,-1.24,-1.0
0.395,1.21,-1.0
-0.279,-1.25,-1.0
1.05,0.899,-1.0
-0.768,-1.04,-1.0
1.14,0.814,-1.0
-0.463,-1.2,-1.0
1.12,0.822,-1.0
-0.85,-0.92,-1.0
0.904,0.97,-1.0
-0.567,-1.14,-1.0
1.08,0.839,-1.0
-0.847,-0.896,-1.0
0.624,1.1,-1.0
-0.243,-1.24,-1.0
-0.634,1.21,-1.0
0.0169,-1.22,-1.0
-1.08,1.01,-1.0
0.306,-1.13,-1.0
-0.75,1.14,-1.0
1.26,-0.25,-1.0
-1.29,0.511,-1.0
1.33,-0.0802,-1.0
-1.14,0.915,-1.0
0.494,-1.01,-1.0
-0.44,1.22,-1.0
-0.162,-1.24,-1.0
0.414,1.16,-1.0
-0.116,-1.23,-1.0
-0.431,1.21,-1.0
0.183,-1.16,-1.0
-1.03,1.01,-1.0
1.21,-0.271,-1.0
-1.25,0.479,-1.0
1.29,-0.12,-1.0
-1.08,0.89,-1.0
0.313,-1.07,-1.0
-0.526,1.19,-1.0
-0.472,-1.16,-1.0
0.902,0.947,-1.0
-0.756,-0.943,-1.0
0.922,0.93,-1.0
-0.654,-1.02,-1.0
0.444,1.14,-1.0
0.0343,-1.18,-1.0
-0.652,1.14,-1.0
-0.149,-1.2,-1.0
0.855,0.959,-1.0
-0.4,-1.15,-1.0
1.08,0.79,-1.0
-1.21,0.488,-1.0
1.3,-0.028,-1.0
-0.969,1.02,-1.0
0.0803,-1.15,-1.0
-0.305,1.18,-1.0
-0.433,-1.13,-1.0
0.987,0.858,-1.0
-0.709,-0.942,-1.0
1.01,0.829,-1.0
-0.59,-1.04,-1.0
0.72,0.989,-1.0
-0.705,-0.93,-1.0
1.35,0.472,-1.0
-1.19,0.309,-1.0
1.25,-0.118,-1.0
-0.946,1.02,-1.0
0.403,-0.997,-1.0
-0.829,1.06,-1.0
-0.227,-1.19,-1.0
0.42,1.1,-1.0
-0.434,-1.1,-1.0
1.1,0.74,-1.0
-0.827,-0.757,-1.0
1.06,0.763,-1.0
-0.615,-0.97,-1.0
0.786,0.945,-1.0
-0.236,-1.17,-1.0
-0.794,1.07,-1.0
0.265,-1.06,-1.0
-0.542,1.12,-1.0
0.0337,-1.13,-1.0
-0.183,1.15,-1.0
0.0194,-1.13,-1.0
-0.891,1.0,-1.0
0.235,-1.05,-1.0
-1.15,0.587,-1.0
1.34,0.274,-1.0
-1.1,0.737,-1.0
1.23,-0.0997,-1.0
-0.83,0.993,-1.0
-0.153,-1.15,-1.0
0.595,1.02,-1.0
-0.421,-1.09,-1.0
1.16,0.654,-1.0
-0.435,-1.08,-1.0
0.484,1.04,-1.0
-0.206,-1.15,-1.0
0.713,0.948,-1.0
-0.599,-0.965,-1.0
1.33,0.406,-1.0
-1.02,0.849,-1.0
1.32,0.218,-1.0
-1.05,0.72,-1.0
1.25,-0.00263,-1.0
-0.807,0.992,-1.0
0.0291,-1.12,-1.0
-0.85,0.963,-1.0
0.126,-1.08,-1.0
0.507,1.02,-1.0
-0.631,-0.914,-1.0
1.22,0.561,-1.0
-0.315,-1.09,-1.0
0.781,0.911,-1.0
-0.383,-1.04,-1.0
1.18,0.597,-1.0
-0.756,-0.679,-1.0
0.98,0.766,-1.0
-0.177,-1.12,-1.0
-0.536,1.05,-1.0
0.117,-1.07,-1.0
-0.876,0.92,-1.0
-0.076,-1.12,-1.0
0.41,1.01,-1.0
-0.226,-1.09,-1.0
-0.449,1.04,-1.0
0.179,-1.04,-1.0
-0.496,1.03,-1.0
0.275,-0.987,-1.0
-1.04,0.621,-1.0
1.29,0.153,-1.0
-0.975,0.725,-1.0
1.26,0.0903,-1.0
-0.772,0.933,-1.0
-0.181,-1.1,-1.0
1.08,0.683,-1.0
-0.509,-0.932,-1.0
0.931,0.783,-1.0
-0.562,-0.873,-1.0
0.818,0.845,-1.0
-0.324,-1.03,-1.0
0.415,0.986,-1.0
-0.104,-1.09,-1.0
-0.66,0.965,-1.0
0.303,-0.94,-1.0
-0.192,1.04,-1.0
-0.439,-0.961,-1.0
1.32,0.376,-1.0
-0.565,-0.853,-1.0
0.552,0.942,-1.0
-0.369,-0.984,-1.0
0.614,0.908,-1.0
-0.471,-0.919,-1.0
1.24,0.441,-1.0
-0.474,-0.911,-1.0
1.01,0.677,-1.0
-0.109,-1.07,-1.0
-0.63,0.949,-1.0
0.139,-1.01,-1.0
0.551,0.921,-1.0
-0.381,-0.959,-1.0
1.09,0.6,-1.0
-0.499,-0.858,-1.0
1.28,0.373,-1.0
-0.93,0.758,-1.0
1.26,0.144,-1.0
-0.951,0.533,-1.0
1.21,0.0512,-1.0
-0.869,0.634,-1.0
0.933,0.716,-1.0
-0.274,-0.99,-1.0
0.234,0.958,-1.0
-0.048,-1.06,-1.0
0.845,0.766,-1.0
-0.466,-0.851,-1.0
1.14,0.494,-1.0
-0.648,-0.631,-1.0
0.827,0.755,-1.0
-0.138,-1.03,-1.0
0.816,0.762,-1.0
-0.366,-0.882,-1.0
1.1,0.508,-1.0
-0.851,0.681,-1.0
1.05,-0.23,-1.0
-0.479,0.91,-1.0
-0.0192,-1.03,-1.0
0.44,0.9,-1.0
-0.254,-0.932,-1.0
-0.527,0.887,-1.0
0.217,-0.961,-1.0
0.344,0.908,-1.0
-0.303,-0.883,-1.0
1.17,0.426,-1.0
-0.267,-0.896,-1.0
0.188,0.914,-1.0
-0.051,-0.972,-1.0
0.91,0.665,-1.0
-0.462,-0.707,-1.0
1.21,0.151,-1.0
-0.699,0.755,-1.0
0.479,-0.821,-1.0
-0.421,-0.731,-1.0
0.952,0.616,-1.0
0.00273,-0.973,-1.0
0.812,0.708,-1.0
0.0131,-0.969,-1.0
0.83,0.692,-1.0
-0.253,-0.809,-1.0
0.69,0.745,-1.0
-0.058,-0.904,-1.0
0.651,0.744,-1.0
0.157,-0.934,-1.0
0.915,0.611,-1.0
-0.231,-0.75,-1.0
0.8,0.662,-1.0
0.134,-0.922,-1.0
1.02,0.508,-1.0
-0.163,-0.759,-1.0
0.739,0.673,-1.0
0.175,-0.887,-1.0
0.514,0.715,-1.0
-0.0381,-0.791,-1.0
1.11,0.428,-1.0
-0.152,-0.669,-1.0
0.695,0.651,-1.0
-0.0527,-0.746,-1.0
1.07,0.441,-1.0
0.22,-0.867,-1.0
0.774,0.617,-1.0
0.14,-0.8,-1.0
1.05,0.453,-1.0
0.364,-0.858,-1.0
0.485,0.635,-1.0
