@RELATION myRel

@ATTRIBUTE Band1 NUMERIC
@ATTRIBUTE Band2 NUMERIC
@ATTRIBUTE Band3 NUMERIC
@ATTRIBUTE Band4 NUMERIC
@ATTRIBUTE Band5 NUMERIC
@ATTRIBUTE Band6 NUMERIC
@ATTRIBUTE Band7 NUMERIC
@ATTRIBUTE Band8 NUMERIC
@ATTRIBUTE Band9 NUMERIC
@ATTRIBUTE Band10 NUMERIC
@ATTRIBUTE Band11 NUMERIC
@ATTRIBUTE Band12 NUMERIC
@ATTRIBUTE Band13 NUMERIC
@ATTRIBUTE Band14 NUMERIC
@ATTRIBUTE Band15 NUMERIC
@ATTRIBUTE Band16 NUMERIC
@ATTRIBUTE Band17 NUMERIC
@ATTRIBUTE Band18 NUMERIC
@ATTRIBUTE Band19 NUMERIC
@ATTRIBUTE Band20 NUMERIC
@ATTRIBUTE Band21 NUMERIC
@ATTRIBUTE Band22 NUMERIC
@ATTRIBUTE Band23 NUMERIC
@ATTRIBUTE Band24 NUMERIC
@ATTRIBUTE Band25 NUMERIC
@ATTRIBUTE Band26 NUMERIC
@ATTRIBUTE Band27 NUMERIC
@ATTRIBUTE Band28 NUMERIC
@ATTRIBUTE Band29 NUMERIC
@ATTRIBUTE Band30 NUMERIC
@ATTRIBUTE Band31 NUMERIC
@ATTRIBUTE Band32 NUMERIC
@ATTRIBUTE Band33 NUMERIC
@ATTRIBUTE Band34 NUMERIC
@ATTRIBUTE Band35 NUMERIC
@ATTRIBUTE Band36 NUMERIC
@ATTRIBUTE Band37 NUMERIC
@ATTRIBUTE Band38 NUMERIC
@ATTRIBUTE Band39 NUMERIC
@ATTRIBUTE Band40 NUMERIC
@ATTRIBUTE Band41 NUMERIC
@ATTRIBUTE Band42 NUMERIC
@ATTRIBUTE Band43 NUMERIC
@ATTRIBUTE Band44 NUMERIC
@ATTRIBUTE Band45 NUMERIC
@ATTRIBUTE Band46 NUMERIC
@ATTRIBUTE Band47 NUMERIC
@ATTRIBUTE Band48 NUMERIC
@ATTRIBUTE Band49 NUMERIC
@ATTRIBUTE Band50 NUMERIC
@ATTRIBUTE Band51 NUMERIC
@ATTRIBUTE Band52 NUMERIC
@ATTRIBUTE Band53 NUMERIC
@ATTRIBUTE Band54 NUMERIC
@ATTRIBUTE Band55 NUMERIC
@ATTRIBUTE Band56 NUMERIC
@ATTRIBUTE Band57 NUMERIC
@ATTRIBUTE Band58 NUMERIC
@ATTRIBUTE Band59 NUMERIC
@ATTRIBUTE Band60 NUMERIC
@ATTRIBUTE Type {R, M}

@DATA
0.013,0.014,0.031,0.038,0.077,0.079,0.066,0.111,0.178,0.224,0.243,0.313,0.321,0.292,0.225,0.235,0.214,0.294,0.49,0.613,0.753,0.772,0.743,0.867,0.931,0.984,1.0,0.96,0.872,0.686,0.49,0.328,0.312,0.197,0.102,0.032,0.076,0.091,0.107,0.138,0.066,0.148,0.247,0.279,0.271,0.228,0.182,0.118,0.055,0.022,0.02,0.012,0.009,0.007,0.002,0.003,0.005,0.002,0.002,0.003,M
0.037,0.042,0.05,0.025,0.06,0.025,0.096,0.099,0.142,0.185,0.222,0.265,0.251,0.229,0.156,0.186,0.239,0.334,0.523,0.668,0.777,0.793,0.794,0.913,0.95,0.984,1.0,0.947,0.824,0.625,0.418,0.321,0.266,0.22,0.159,0.056,0.095,0.17,0.122,0.128,0.039,0.133,0.233,0.247,0.196,0.198,0.157,0.092,0.055,0.019,0.017,0.013,0.003,0.002,0.006,0.002,0.002,0.002,0.003,0.003,M
0.006,0.027,0.022,0.056,0.094,0.115,0.071,0.1,0.167,0.186,0.248,0.271,0.293,0.264,0.188,0.14,0.203,0.261,0.278,0.335,0.383,0.4,0.511,0.686,0.749,0.784,0.902,1.0,0.889,0.651,0.608,0.446,0.295,0.173,0.149,0.08,0.177,0.138,0.24,0.205,0.197,0.278,0.138,0.068,0.066,0.166,0.181,0.124,0.052,0.004,0.018,0.007,0.006,0.007,0.007,0.008,0.004,0.002,0.003,0.001,M
0.02,0.039,0.038,0.008,0.025,0.063,0.075,0.058,0.136,0.17,0.173,0.247,0.314,0.33,0.276,0.206,0.116,0.188,0.339,0.393,0.428,0.542,0.645,0.722,0.785,0.798,0.885,0.958,0.899,0.683,0.611,0.548,0.506,0.448,0.24,0.14,0.177,0.174,0.333,0.402,0.301,0.208,0.121,0.026,0.03,0.069,0.078,0.078,0.037,0.006,0.009,0.013,0.01,0.004,0.006,0.007,0.004,0.004,0.005,0.005,M
0.016,0.063,0.074,0.061,0.023,0.105,0.134,0.064,0.152,0.078,0.179,0.268,0.179,0.104,0.198,0.323,0.375,0.259,0.368,0.351,0.561,0.523,0.547,0.695,0.635,0.676,0.85,0.802,0.656,0.859,0.666,0.537,0.312,0.376,0.28,0.088,0.332,0.424,0.18,0.374,0.463,0.161,0.249,0.32,0.226,0.115,0.048,0.094,0.082,0.017,0.024,0.026,0.014,0.023,0.019,0.018,0.011,0.009,0.008,0.011,M
0.01,0.031,0.054,0.041,0.061,0.104,0.102,0.139,0.259,0.374,0.423,0.45,0.54,0.43,0.333,0.35,0.343,0.285,0.406,0.683,0.765,0.667,0.57,0.6,0.648,0.861,0.982,0.938,0.844,0.607,0.54,0.689,0.598,0.324,0.052,0.316,0.359,0.388,0.572,0.431,0.305,0.439,0.43,0.483,0.508,0.195,0.154,0.204,0.105,0.025,0.036,0.018,0.002,0.01,0.013,0.004,0.004,0.003,0.003,0.003,M
0.029,0.012,0.012,0.011,0.05,0.1,0.133,0.112,0.298,0.347,0.423,0.504,0.524,0.44,0.324,0.296,0.329,0.323,0.453,0.634,0.704,0.831,0.845,0.851,0.914,0.998,1.0,0.754,0.466,0.392,0.385,0.467,0.424,0.31,0.075,0.288,0.407,0.317,0.286,0.263,0.054,0.187,0.346,0.465,0.437,0.258,0.132,0.05,0.011,0.006,0.004,0.006,0.01,0.008,0.001,0.005,0.002,0.001,0.008,0.004,M
0.016,0.004,0.024,0.044,0.063,0.092,0.137,0.108,0.155,0.178,0.216,0.257,0.309,0.383,0.439,0.534,0.6,0.673,0.731,0.809,0.894,0.967,1.0,0.989,0.938,0.899,0.918,0.913,0.781,0.602,0.376,0.33,0.228,0.021,0.112,0.179,0.237,0.284,0.224,0.272,0.336,0.255,0.187,0.216,0.128,0.077,0.107,0.095,0.064,0.023,0.013,0.017,0.014,0.011,0.006,0.016,0.009,0.004,0.005,0.003,M
0.025,0.012,0.028,0.076,0.122,0.154,0.119,0.123,0.212,0.253,0.286,0.296,0.334,0.429,0.52,0.609,0.724,0.758,0.773,0.81,0.9,0.925,0.936,0.985,0.978,1.0,0.99,0.908,0.731,0.576,0.447,0.372,0.208,0.096,0.049,0.141,0.255,0.205,0.161,0.223,0.177,0.229,0.252,0.146,0.067,0.096,0.149,0.113,0.046,0.019,0.014,0.003,0.007,0.015,0.001,0.013,0.005,0.024,0.008,0.007,M
0.033,0.042,0.047,0.082,0.084,0.076,0.037,0.096,0.055,0.019,0.09,0.173,0.194,0.28,0.331,0.502,0.636,0.71,0.833,0.873,0.807,0.751,0.753,0.73,0.618,0.495,0.453,0.41,0.454,0.412,0.314,0.319,0.369,0.378,0.447,0.478,0.472,0.466,0.389,0.426,0.406,0.371,0.386,0.28,0.128,0.112,0.13,0.079,0.044,0.022,0.013,0.008,0.017,0.018,0.004,0.013,0.007,0.004,0.013,0.009,M
0.026,0.007,0.034,0.079,0.104,0.078,0.142,0.118,0.045,0.094,0.113,0.084,0.072,0.197,0.263,0.419,0.505,0.671,0.792,0.838,0.876,0.942,1.0,0.993,0.958,0.865,0.722,0.58,0.496,0.489,0.408,0.244,0.177,0.247,0.352,0.376,0.291,0.231,0.317,0.355,0.374,0.444,0.326,0.196,0.086,0.169,0.199,0.122,0.063,0.032,0.025,0.021,0.026,0.018,0.004,0.007,0.012,0.008,0.008,0.007,M
0.137,0.123,0.138,0.148,0.178,0.143,0.177,0.216,0.163,0.207,0.426,0.548,0.713,0.7,0.678,0.794,0.938,0.892,0.915,0.783,0.796,0.798,0.772,0.662,0.486,0.557,0.47,0.564,0.452,0.337,0.268,0.234,0.305,0.302,0.275,0.104,0.176,0.316,0.36,0.274,0.13,0.246,0.34,0.175,0.068,0.106,0.064,0.053,0.053,0.027,0.017,0.012,0.013,0.034,0.006,0.007,0.002,0.008,0.015,0.005,M
0.031,0.052,0.065,0.052,0.061,0.058,0.066,0.066,0.146,0.279,0.388,0.499,0.498,0.497,0.561,0.734,0.823,0.917,0.998,0.991,0.824,0.65,0.598,0.486,0.315,0.154,0.099,0.028,0.101,0.264,0.269,0.293,0.292,0.4,0.366,0.317,0.461,0.437,0.182,0.338,0.62,0.445,0.186,0.142,0.059,0.058,0.067,0.027,0.024,0.019,0.006,0.032,0.019,0.014,0.028,0.015,0.005,0.012,0.012,0.006,M
0.021,0.013,0.002,0.045,0.071,0.156,0.152,0.121,0.167,0.134,0.078,0.037,0.123,0.261,0.428,0.612,0.744,0.813,0.901,0.96,0.916,0.914,0.785,0.513,0.344,0.329,0.257,0.368,0.576,0.619,0.461,0.362,0.443,0.386,0.309,0.214,0.111,0.139,0.152,0.1,0.164,0.19,0.131,0.178,0.2,0.076,0.073,0.075,0.045,0.013,0.017,0.012,0.002,0.005,0.005,0.003,0.002,0.004,0.005,0.002,M
0.013,0.012,0.044,0.062,0.043,0.035,0.038,0.045,0.132,0.138,0.203,0.239,0.211,0.144,0.074,0.153,0.305,0.412,0.547,0.593,0.666,0.733,0.714,0.701,0.776,0.914,0.996,1.0,0.888,0.658,0.271,0.175,0.271,0.485,0.718,0.821,0.754,0.65,0.471,0.348,0.351,0.318,0.352,0.366,0.285,0.171,0.069,0.03,0.029,0.012,0.002,0.008,0.01,0.002,0.004,0.006,0.001,0.001,0.003,0.003,M
0.03,0.036,0.021,0.023,0.046,0.066,0.094,0.097,0.254,0.313,0.219,0.262,0.242,0.218,0.116,0.124,0.089,0.176,0.176,0.154,0.051,0.18,0.404,0.57,0.658,0.747,0.854,0.908,0.867,0.889,0.906,0.852,0.72,0.62,0.625,0.685,0.734,0.628,0.572,0.612,0.56,0.496,0.503,0.577,0.591,0.48,0.388,0.278,0.143,0.042,0.027,0.02,0.007,0.007,0.009,0.009,0.007,0.004,0.006,0.002,M
0.024,0.022,0.017,0.052,0.075,0.112,0.126,0.172,0.307,0.32,0.295,0.248,0.251,0.181,0.141,0.302,0.364,0.389,0.298,0.222,0.162,0.134,0.205,0.379,0.577,0.754,0.841,0.855,0.904,1.0,0.965,0.791,0.641,0.599,0.684,0.777,0.808,0.743,0.63,0.571,0.443,0.336,0.38,0.495,0.437,0.24,0.113,0.165,0.093,0.022,0.021,0.022,0.015,0.008,0.006,0.002,0.006,0.005,0.003,0.002,M
0.03,0.069,0.099,0.102,0.08,0.063,0.013,0.081,0.176,0.1,0.052,0.09,0.266,0.31,0.352,0.389,0.396,0.245,0.236,0.304,0.311,0.47,0.553,0.453,0.446,0.467,0.462,0.699,0.763,0.702,0.738,0.745,0.793,0.523,0.397,0.304,0.131,0.241,0.178,0.16,0.566,0.644,0.424,0.457,0.576,0.529,0.329,0.128,0.07,0.033,0.034,0.046,0.028,0.017,0.009,0.005,0.02,0.013,0.012,0.002,M
0.049,0.028,0.059,0.127,0.177,0.191,0.222,0.077,0.125,0.203,0.095,0.25,0.221,0.32,0.334,0.332,0.278,0.298,0.295,0.173,0.326,0.383,0.352,0.541,0.523,0.448,0.534,0.532,0.391,0.346,0.409,0.464,0.558,0.573,0.636,0.756,0.69,0.618,0.538,0.562,0.651,0.48,0.374,0.28,0.198,0.244,0.179,0.171,0.076,0.024,0.027,0.008,0.013,0.016,0.006,0.012,0.019,0.014,0.033,0.044,M
0.043,0.09,0.083,0.081,0.016,0.028,0.057,0.206,0.389,0.711,0.734,0.503,0.3,0.195,0.277,0.374,0.251,0.251,0.329,0.487,0.653,0.845,0.974,1.0,0.666,0.532,0.402,0.344,0.424,0.418,0.439,0.116,0.434,0.655,0.617,0.437,0.412,0.364,0.457,0.437,0.296,0.431,0.416,0.182,0.149,0.014,0.116,0.205,0.107,0.02,0.021,0.018,0.02,0.021,0.014,0.005,0.003,0.016,0.006,0.002,M
