@RELATION myRel

@ATTRIBUTE Band1 NUMERIC
@ATTRIBUTE Band2 NUMERIC
@ATTRIBUTE Band3 NUMERIC
@ATTRIBUTE Band4 NUMERIC
@ATTRIBUTE Band5 NUMERIC
@ATTRIBUTE Band6 NUMERIC
@ATTRIBUTE Band7 NUMERIC
@ATTRIBUTE Band8 NUMERIC
@ATTRIBUTE Band9 NUMERIC
@ATTRIBUTE Band10 NUMERIC
@ATTRIBUTE Band11 NUMERIC
@ATTRIBUTE Band12 NUMERIC
@ATTRIBUTE Band13 NUMERIC
@ATTRIBUTE Band14 NUMERIC
@ATTRIBUTE Band15 NUMERIC
@ATTRIBUTE Band16 NUMERIC
@ATTRIBUTE Band17 NUMERIC
@ATTRIBUTE Band18 NUMERIC
@ATTRIBUTE Band19 NUMERIC
@ATTRIBUTE Band20 NUMERIC
@ATTRIBUTE Band21 NUMERIC
@ATTRIBUTE Band22 NUMERIC
@ATTRIBUTE Band23 NUMERIC
@ATTRIBUTE Band24 NUMERIC
@ATTRIBUTE Band25 NUMERIC
@ATTRIBUTE Band26 NUMERIC
@ATTRIBUTE Band27 NUMERIC
@ATTRIBUTE Band28 NUMERIC
@ATTRIBUTE Band29 NUMERIC
@ATTRIBUTE Band30 NUMERIC
@ATTRIBUTE Band31 NUMERIC
@ATTRIBUTE Band32 NUMERIC
@ATTRIBUTE Band33 NUMERIC
@ATTRIBUTE Band34 NUMERIC
@ATTRIBUTE Band35 NUMERIC
@ATTRIBUTE Band36 NUMERIC
@ATTRIBUTE Band37 NUMERIC
@ATTRIBUTE Band38 NUMERIC
@ATTRIBUTE Band39 NUMERIC
@ATTRIBUTE Band40 NUMERIC
@ATTRIBUTE Band41 NUMERIC
@ATTRIBUTE Band42 NUMERIC
@ATTRIBUTE Band43 NUMERIC
@ATTRIBUTE Band44 NUMERIC
@ATTRIBUTE Band45 NUMERIC
@ATTRIBUTE Band46 NUMERIC
@ATTRIBUTE Band47 NUMERIC
@ATTRIBUTE Band48 NUMERIC
@ATTRIBUTE Band49 NUMERIC
@ATTRIBUTE Band50 NUMERIC
@ATTRIBUTE Band51 NUMERIC
@ATTRIBUTE Band52 NUMERIC
@ATTRIBUTE Band53 NUMERIC
@ATTRIBUTE Band54 NUMERIC
@ATTRIBUTE Band55 NUMERIC
@ATTRIBUTE Band56 NUMERIC
@ATTRIBUTE Band57 NUMERIC
@ATTRIBUTE Band58 NUMERIC
@ATTRIBUTE Band59 NUMERIC
@ATTRIBUTE Band60 NUMERIC
@ATTRIBUTE Type {R, M}

@DATA
0.024,0.032,0.042,0.04,0.079,0.077,0.088,0.114,0.159,0.205,0.265,0.31,0.238,0.192,0.143,0.174,0.178,0.285,0.504,0.617,0.762,0.812,0.779,0.879,0.881,0.947,1.0,0.974,0.845,0.615,0.43,0.316,0.287,0.202,0.121,0.027,0.058,0.126,0.107,0.108,0.036,0.12,0.206,0.205,0.188,0.205,0.172,0.107,0.048,0.017,0.019,0.01,0.007,0.008,0.004,0.003,0.003,0.001,0.004,0.006,M
0.012,0.074,0.037,0.022,0.008,0.054,0.111,0.107,0.171,0.227,0.317,0.288,0.266,0.231,0.189,0.179,0.23,0.372,0.622,0.726,0.793,0.804,0.807,0.917,0.933,0.956,1.0,0.982,0.868,0.638,0.4,0.324,0.284,0.241,0.232,0.126,0.069,0.07,0.144,0.148,0.044,0.047,0.148,0.174,0.156,0.165,0.118,0.072,0.032,0.006,0.02,0.014,0.01,0.01,0.003,0.003,0.004,0.004,0.006,0.004,M
0.016,0.021,0.028,0.06,0.046,0.078,0.136,0.078,0.104,0.157,0.248,0.278,0.29,0.296,0.319,0.189,0.173,0.223,0.243,0.315,0.41,0.381,0.49,0.629,0.752,0.798,0.883,0.992,0.922,0.698,0.617,0.507,0.392,0.352,0.218,0.124,0.159,0.163,0.236,0.248,0.244,0.272,0.118,0.116,0.145,0.188,0.195,0.149,0.051,0.016,0.019,0.015,0.006,0.008,0.009,0.004,0.006,0.006,0.005,0.002,M
0.039,0.042,0.045,0.055,0.06,0.142,0.096,0.08,0.162,0.256,0.308,0.34,0.34,0.395,0.335,0.225,0.209,0.225,0.338,0.458,0.647,0.671,0.701,0.762,0.774,0.677,0.737,0.783,0.962,1.0,0.809,0.556,0.541,0.499,0.311,0.29,0.224,0.096,0.229,0.323,0.345,0.388,0.324,0.093,0.117,0.057,0.077,0.097,0.059,0.005,0.012,0.015,0.004,0.011,0.003,0.006,0.01,0.007,0.005,0.009,M
0.019,0.035,0.017,0.018,0.039,0.163,0.203,0.169,0.233,0.268,0.311,0.293,0.228,0.099,0.18,0.22,0.273,0.286,0.203,0.174,0.413,0.688,0.812,0.845,0.892,0.93,0.999,1.0,0.81,0.62,0.604,0.555,0.416,0.147,0.085,0.061,0.097,0.141,0.168,0.12,0.12,0.104,0.198,0.134,0.09,0.108,0.152,0.136,0.086,0.029,0.02,0.012,0.01,0.02,0.003,0.01,0.006,0.012,0.019,0.016,M
0.016,0.02,0.02,0.039,0.075,0.144,0.149,0.148,0.244,0.282,0.369,0.375,0.393,0.331,0.108,0.114,0.345,0.544,0.647,0.728,0.789,0.826,0.87,0.784,0.714,0.57,0.291,0.464,0.641,0.74,0.807,0.842,1.0,0.954,0.676,0.39,0.125,0.363,0.636,0.812,0.766,0.542,0.261,0.172,0.281,0.276,0.198,0.15,0.122,0.049,0.003,0.008,0.003,0.003,0.008,0.002,0.008,0.011,0.008,0.003,M
0.027,0.038,0.05,0.071,0.131,0.21,0.226,0.252,0.36,0.592,0.668,0.568,0.518,0.333,0.2,0.286,0.294,0.342,0.595,0.753,0.896,0.815,0.711,0.738,0.72,0.825,0.892,0.982,0.818,0.485,0.32,0.278,0.238,0.291,0.168,0.316,0.187,0.339,0.599,0.412,0.118,0.365,0.466,0.478,0.352,0.092,0.123,0.178,0.108,0.03,0.035,0.017,0.02,0.014,0.008,0.004,0.004,0.003,0.006,0.006,M
0.035,0.051,0.008,0.024,0.043,0.074,0.094,0.113,0.123,0.151,0.181,0.239,0.295,0.287,0.401,0.532,0.549,0.582,0.604,0.675,0.708,0.789,0.928,0.978,0.974,1.0,0.97,0.996,0.824,0.602,0.534,0.487,0.353,0.157,0.095,0.161,0.282,0.339,0.302,0.294,0.298,0.268,0.206,0.207,0.162,0.122,0.101,0.074,0.039,0.005,0.015,0.004,0.012,0.011,0.011,0.01,0.005,0.002,0.008,0.003,M
0.023,0.011,0.013,0.084,0.112,0.151,0.178,0.1,0.143,0.223,0.262,0.311,0.286,0.332,0.376,0.45,0.476,0.625,0.73,0.87,0.935,0.961,0.913,0.944,1.0,0.946,0.882,0.752,0.707,0.599,0.386,0.251,0.216,0.097,0.132,0.134,0.225,0.324,0.394,0.381,0.326,0.365,0.298,0.178,0.154,0.12,0.096,0.076,0.065,0.031,0.018,0.01,0.018,0.008,0.007,0.01,0.006,0.004,0.006,0.004,M
0.043,0.056,0.071,0.062,0.122,0.152,0.154,0.039,0.061,0.011,0.126,0.247,0.301,0.375,0.452,0.539,0.659,0.711,0.76,0.867,0.842,0.797,0.838,0.932,0.856,0.616,0.414,0.327,0.311,0.255,0.337,0.446,0.5,0.511,0.519,0.462,0.423,0.437,0.428,0.443,0.37,0.332,0.256,0.253,0.214,0.179,0.101,0.053,0.045,0.012,0.001,0.014,0.018,0.008,0.006,0.013,0.009,0.008,0.011,0.005,M
