@RELATION myRel

@ATTRIBUTE Band1 NUMERIC
@ATTRIBUTE Band2 NUMERIC
@ATTRIBUTE Band3 NUMERIC
@ATTRIBUTE Band4 NUMERIC
@ATTRIBUTE Band5 NUMERIC
@ATTRIBUTE Band6 NUMERIC
@ATTRIBUTE Band7 NUMERIC
@ATTRIBUTE Band8 NUMERIC
@ATTRIBUTE Band9 NUMERIC
@ATTRIBUTE Band10 NUMERIC
@ATTRIBUTE Band11 NUMERIC
@ATTRIBUTE Band12 NUMERIC
@ATTRIBUTE Band13 NUMERIC
@ATTRIBUTE Band14 NUMERIC
@ATTRIBUTE Band15 NUMERIC
@ATTRIBUTE Band16 NUMERIC
@ATTRIBUTE Band17 NUMERIC
@ATTRIBUTE Band18 NUMERIC
@ATTRIBUTE Band19 NUMERIC
@ATTRIBUTE Band20 NUMERIC
@ATTRIBUTE Band21 NUMERIC
@ATTRIBUTE Band22 NUMERIC
@ATTRIBUTE Band23 NUMERIC
@ATTRIBUTE Band24 NUMERIC
@ATTRIBUTE Band25 NUMERIC
@ATTRIBUTE Band26 NUMERIC
@ATTRIBUTE Band27 NUMERIC
@ATTRIBUTE Band28 NUMERIC
@ATTRIBUTE Band29 NUMERIC
@ATTRIBUTE Band30 NUMERIC
@ATTRIBUTE Band31 NUMERIC
@ATTRIBUTE Band32 NUMERIC
@ATTRIBUTE Band33 NUMERIC
@ATTRIBUTE Band34 NUMERIC
@ATTRIBUTE Band35 NUMERIC
@ATTRIBUTE Band36 NUMERIC
@ATTRIBUTE Band37 NUMERIC
@ATTRIBUTE Band38 NUMERIC
@ATTRIBUTE Band39 NUMERIC
@ATTRIBUTE Band40 NUMERIC
@ATTRIBUTE Band41 NUMERIC
@ATTRIBUTE Band42 NUMERIC
@ATTRIBUTE Band43 NUMERIC
@ATTRIBUTE Band44 NUMERIC
@ATTRIBUTE Band45 NUMERIC
@ATTRIBUTE Band46 NUMERIC
@ATTRIBUTE Band47 NUMERIC
@ATTRIBUTE Band48 NUMERIC
@ATTRIBUTE Band49 NUMERIC
@ATTRIBUTE Band50 NUMERIC
@ATTRIBUTE Band51 NUMERIC
@ATTRIBUTE Band52 NUMERIC
@ATTRIBUTE Band53 NUMERIC
@ATTRIBUTE Band54 NUMERIC
@ATTRIBUTE Band55 NUMERIC
@ATTRIBUTE Band56 NUMERIC
@ATTRIBUTE Band57 NUMERIC
@ATTRIBUTE Band58 NUMERIC
@ATTRIBUTE Band59 NUMERIC
@ATTRIBUTE Band60 NUMERIC
@ATTRIBUTE Type {R, M}

@DATA
0.131,0.234,0.306,0.426,0.401,0.179,0.185,0.006,0.193,0.223,0.291,0.226,0.314,0.33,0.366,0.396,0.439,0.467,0.526,0.374,0.224,0.197,0.434,0.653,0.507,0.28,0.416,0.595,0.524,0.418,0.371,0.238,0.086,0.144,0.29,0.458,0.372,0.337,0.38,0.418,0.36,0.271,0.165,0.195,0.281,0.225,0.192,0.15,0.066,0.019,0.016,0.036,0.021,0.015,0.018,0.001,0.011,0.013,0.018,0.023,M
0.024,0.032,0.042,0.04,0.079,0.077,0.088,0.114,0.159,0.205,0.265,0.31,0.238,0.192,0.143,0.174,0.178,0.285,0.504,0.617,0.762,0.812,0.779,0.879,0.881,0.947,1.0,0.974,0.845,0.615,0.43,0.316,0.287,0.202,0.121,0.027,0.058,0.126,0.107,0.108,0.036,0.12,0.206,0.205,0.188,0.205,0.172,0.107,0.048,0.017,0.019,0.01,0.007,0.008,0.004,0.003,0.003,0.001,0.004,0.006,M
0.018,0.044,0.048,0.07,0.162,0.089,0.06,0.107,0.318,0.292,0.327,0.304,0.303,0.259,0.168,0.131,0.28,0.452,0.664,0.768,0.696,0.439,0.243,0.289,0.497,0.817,1.0,0.924,0.852,0.772,0.577,0.519,0.682,0.622,0.505,0.358,0.381,0.381,0.336,0.277,0.365,0.383,0.345,0.21,0.103,0.08,0.07,0.053,0.024,0.012,0.012,0.012,0.011,0.01,0.003,0.002,0.003,0.005,0.007,0.002,M
0.016,0.063,0.074,0.061,0.023,0.105,0.134,0.064,0.152,0.078,0.179,0.268,0.179,0.104,0.198,0.323,0.375,0.259,0.368,0.351,0.561,0.523,0.547,0.695,0.635,0.676,0.85,0.802,0.656,0.859,0.666,0.537,0.312,0.376,0.28,0.088,0.332,0.424,0.18,0.374,0.463,0.161,0.249,0.32,0.226,0.115,0.048,0.094,0.082,0.017,0.024,0.026,0.014,0.023,0.019,0.018,0.011,0.009,0.008,0.011,M
0.021,0.013,0.002,0.045,0.071,0.156,0.152,0.121,0.167,0.134,0.078,0.037,0.123,0.261,0.428,0.612,0.744,0.813,0.901,0.96,0.916,0.914,0.785,0.513,0.344,0.329,0.257,0.368,0.576,0.619,0.461,0.362,0.443,0.386,0.309,0.214,0.111,0.139,0.152,0.1,0.164,0.19,0.131,0.178,0.2,0.076,0.073,0.075,0.045,0.013,0.017,0.012,0.002,0.005,0.005,0.003,0.002,0.004,0.005,0.002,M
0.007,0.003,0.009,0.006,0.042,0.086,0.118,0.1,0.198,0.232,0.247,0.288,0.213,0.071,0.119,0.281,0.422,0.528,0.586,0.615,0.675,0.787,0.897,0.983,1.0,0.846,0.606,0.304,0.014,0.253,0.434,0.492,0.541,0.596,0.525,0.378,0.237,0.172,0.188,0.325,0.258,0.242,0.271,0.232,0.172,0.146,0.118,0.087,0.039,0.013,0.009,0.008,0.007,0.008,0.003,0.006,0.004,0.004,0.001,0.004,M
0.012,0.074,0.037,0.022,0.008,0.054,0.111,0.107,0.171,0.227,0.317,0.288,0.266,0.231,0.189,0.179,0.23,0.372,0.622,0.726,0.793,0.804,0.807,0.917,0.933,0.956,1.0,0.982,0.868,0.638,0.4,0.324,0.284,0.241,0.232,0.126,0.069,0.07,0.144,0.148,0.044,0.047,0.148,0.174,0.156,0.165,0.118,0.072,0.032,0.006,0.02,0.014,0.01,0.01,0.003,0.003,0.004,0.004,0.006,0.004,M
0.026,0.027,0.022,0.075,0.136,0.151,0.132,0.165,0.186,0.201,0.289,0.365,0.351,0.35,0.432,0.54,0.624,0.688,0.733,0.811,0.84,0.863,0.875,0.961,0.972,0.912,0.858,0.88,0.772,0.571,0.426,0.286,0.311,0.207,0.116,0.018,0.13,0.248,0.164,0.11,0.214,0.203,0.189,0.137,0.138,0.031,0.037,0.061,0.04,0.017,0.014,0.022,0.018,0.013,0.002,0.012,0.005,0.002,0.003,0.002,M
0.002,0.019,0.029,0.02,0.052,0.082,0.1,0.012,0.117,0.148,0.212,0.258,0.235,0.133,0.009,0.195,0.368,0.465,0.542,0.626,0.742,0.826,0.861,0.84,0.895,0.994,1.0,0.965,0.875,0.626,0.218,0.294,0.364,0.501,0.784,0.936,0.82,0.621,0.451,0.3,0.267,0.224,0.314,0.369,0.299,0.223,0.085,0.036,0.029,0.012,0.004,0.011,0.008,0.009,0.004,0.003,0.001,0.001,0.003,0.005,M
0.041,0.028,0.06,0.052,0.049,0.038,0.061,0.112,0.124,0.23,0.137,0.134,0.214,0.153,0.078,0.12,0.09,0.069,0.207,0.298,0.284,0.335,0.362,0.32,0.345,0.356,0.389,0.662,0.925,1.0,0.853,0.63,0.525,0.401,0.29,0.201,0.336,0.48,0.615,0.625,0.497,0.349,0.266,0.314,0.428,0.426,0.351,0.246,0.126,0.033,0.018,0.022,0.004,0.002,0.006,0.013,0.011,0.005,0.008,0.004,M
