@RELATION myRel

@ATTRIBUTE At1 NUMERIC
@ATTRIBUTE At2 NUMERIC
@ATTRIBUTE Class {-1.0, 1.0}

@DATA
1.09,0.614,-1.0
-0.0785,-1.16,-1.0
-0.7,-1.25,-1.0
1.27,-0.194,-1.0
-0.951,-1.3,-1.0
-0.566,-1.62,-1.0
-0.0339,-1.66,-1.0
0.648,1.41,-1.0
0.647,0.317,-1.0
-0.924,1.45,-1.0
-0.177,-1.45,-1.0
0.311,1.76,-1.0
0.698,0.784,-1.0
1.57,-0.114,-1.0
1.22,0.834,-1.0
-0.173,1.59,-1.0
0.314,1.54,-1.0
-1.2,0.659,-1.0
-0.654,-0.999,-1.0
0.411,1.47,-1.0
1.7,-0.554,-1.0
-0.811,-1.15,-1.0
-1.16,0.41,-1.0
1.3,1.04,-1.0
1.22,-0.159,-1.0
0.258,-0.85,-1.0
0.463,-1.28,-1.0
1.08,1.03,-1.0
-0.852,1.32,-1.0
-1.49,0.744,-1.0
0.191,1.94,-1.0
-1.83,0.379,-1.0
-1.7,-0.087,-1.0
0.732,0.493,-1.0
1.36,0.482,-1.0
0.552,1.04,-1.0
1.07,-0.0433,-1.0
-0.488,-1.31,-1.0
-0.621,-1.12,-1.0
0.646,1.23,-1.0
0.545,1.28,-1.0
-0.347,-1.13,-1.0
1.02,0.858,-1.0
0.304,1.61,-1.0
0.953,0.719,-1.0
0.829,1.56,-1.0
-0.583,-1.05,-1.0
-0.595,1.09,-1.0
-1.37,0.968,-1.0
-0.64,-0.939,-1.0
-1.01,-1.36,-1.0
0.904,1.04,-1.0
0.119,-1.28,-1.0
0.372,-0.809,-1.0
0.471,2.03,-1.0
-0.298,-1.16,-1.0
-0.226,-1.06,-1.0
0.785,0.173,-1.0
0.0681,-0.76,-1.0
-0.372,1.54,-1.0
0.867,0.81,-1.0
1.02,0.997,-1.0
0.155,1.88,-1.0
1.22,-0.345,-1.0
0.118,-1.37,-1.0
0.909,0.522,-1.0
0.0526,1.42,-1.0
1.7,0.0023,-1.0
-0.0567,-1.41,-1.0
0.357,0.647,-1.0
1.74,0.577,-1.0
-0.0237,-1.0,-1.0
-0.672,-0.601,-1.0
-0.832,-1.33,-1.0
-0.93,-0.895,-1.0
-0.504,1.03,-1.0
0.437,2.35,-1.0
0.0722,1.8,-1.0
-0.958,0.812,-1.0
0.391,-1.42,-1.0
-0.429,1.13,-1.0
-0.531,-1.27,-1.0
