@RELATION myRel

@ATTRIBUTE Band1 NUMERIC
@ATTRIBUTE Band2 NUMERIC
@ATTRIBUTE Band3 NUMERIC
@ATTRIBUTE Band4 NUMERIC
@ATTRIBUTE Band5 NUMERIC
@ATTRIBUTE Band6 NUMERIC
@ATTRIBUTE Band7 NUMERIC
@ATTRIBUTE Band8 NUMERIC
@ATTRIBUTE Band9 NUMERIC
@ATTRIBUTE Band10 NUMERIC
@ATTRIBUTE Band11 NUMERIC
@ATTRIBUTE Band12 NUMERIC
@ATTRIBUTE Band13 NUMERIC
@ATTRIBUTE Band14 NUMERIC
@ATTRIBUTE Band15 NUMERIC
@ATTRIBUTE Band16 NUMERIC
@ATTRIBUTE Band17 NUMERIC
@ATTRIBUTE Band18 NUMERIC
@ATTRIBUTE Band19 NUMERIC
@ATTRIBUTE Band20 NUMERIC
@ATTRIBUTE Band21 NUMERIC
@ATTRIBUTE Band22 NUMERIC
@ATTRIBUTE Band23 NUMERIC
@ATTRIBUTE Band24 NUMERIC
@ATTRIBUTE Band25 NUMERIC
@ATTRIBUTE Band26 NUMERIC
@ATTRIBUTE Band27 NUMERIC
@ATTRIBUTE Band28 NUMERIC
@ATTRIBUTE Band29 NUMERIC
@ATTRIBUTE Band30 NUMERIC
@ATTRIBUTE Band31 NUMERIC
@ATTRIBUTE Band32 NUMERIC
@ATTRIBUTE Band33 NUMERIC
@ATTRIBUTE Band34 NUMERIC
@ATTRIBUTE Band35 NUMERIC
@ATTRIBUTE Band36 NUMERIC
@ATTRIBUTE Band37 NUMERIC
@ATTRIBUTE Band38 NUMERIC
@ATTRIBUTE Band39 NUMERIC
@ATTRIBUTE Band40 NUMERIC
@ATTRIBUTE Band41 NUMERIC
@ATTRIBUTE Band42 NUMERIC
@ATTRIBUTE Band43 NUMERIC
@ATTRIBUTE Band44 NUMERIC
@ATTRIBUTE Band45 NUMERIC
@ATTRIBUTE Band46 NUMERIC
@ATTRIBUTE Band47 NUMERIC
@ATTRIBUTE Band48 NUMERIC
@ATTRIBUTE Band49 NUMERIC
@ATTRIBUTE Band50 NUMERIC
@ATTRIBUTE Band51 NUMERIC
@ATTRIBUTE Band52 NUMERIC
@ATTRIBUTE Band53 NUMERIC
@ATTRIBUTE Band54 NUMERIC
@ATTRIBUTE Band55 NUMERIC
@ATTRIBUTE Band56 NUMERIC
@ATTRIBUTE Band57 NUMERIC
@ATTRIBUTE Band58 NUMERIC
@ATTRIBUTE Band59 NUMERIC
@ATTRIBUTE Band60 NUMERIC
@ATTRIBUTE Type {R, M}

@DATA
0.02,0.012,0.038,0.013,0.054,0.087,0.102,0.085,0.114,0.175,0.22,0.272,0.21,0.173,0.204,0.179,0.132,0.226,0.236,0.311,0.391,0.363,0.481,0.653,0.781,0.84,0.918,0.977,0.894,0.702,0.65,0.507,0.39,0.301,0.156,0.098,0.22,0.224,0.274,0.215,0.244,0.315,0.211,0.099,0.059,0.194,0.194,0.108,0.034,0.018,0.021,0.013,0.009,0.005,0.004,0.004,0.003,0.004,0.001,0.002,M
0.072,0.085,0.059,0.022,0.086,0.18,0.192,0.19,0.296,0.419,0.487,0.525,0.596,0.686,0.857,0.972,0.869,0.871,0.895,0.992,0.898,0.816,0.837,0.754,0.589,0.549,0.564,0.541,0.478,0.444,0.37,0.257,0.148,0.174,0.123,0.159,0.18,0.144,0.167,0.263,0.223,0.124,0.087,0.209,0.15,0.068,0.09,0.093,0.066,0.009,0.022,0.015,0.012,0.01,0.02,0.004,0.007,0.01,0.008,0.012,M
0.019,0.035,0.017,0.018,0.039,0.163,0.203,0.169,0.233,0.268,0.311,0.293,0.228,0.099,0.18,0.22,0.273,0.286,0.203,0.174,0.413,0.688,0.812,0.845,0.892,0.93,0.999,1.0,0.81,0.62,0.604,0.555,0.416,0.147,0.085,0.061,0.097,0.141,0.168,0.12,0.12,0.104,0.198,0.134,0.09,0.108,0.152,0.136,0.086,0.029,0.02,0.012,0.01,0.02,0.003,0.01,0.006,0.012,0.019,0.016,M
0.027,0.016,0.034,0.025,0.082,0.126,0.132,0.158,0.202,0.212,0.221,0.24,0.296,0.406,0.51,0.551,0.661,0.68,0.652,0.679,0.781,0.837,0.897,0.986,1.0,0.94,0.892,0.81,0.683,0.557,0.43,0.334,0.204,0.08,0.081,0.152,0.263,0.246,0.198,0.241,0.241,0.19,0.208,0.177,0.112,0.078,0.134,0.096,0.06,0.033,0.02,0.019,0.02,0.008,0.004,0.009,0.014,0.009,0.01,0.009,M
0.029,0.012,0.012,0.011,0.05,0.1,0.133,0.112,0.298,0.347,0.423,0.504,0.524,0.44,0.324,0.296,0.329,0.323,0.453,0.634,0.704,0.831,0.845,0.851,0.914,0.998,1.0,0.754,0.466,0.392,0.385,0.467,0.424,0.31,0.075,0.288,0.407,0.317,0.286,0.263,0.054,0.187,0.346,0.465,0.437,0.258,0.132,0.05,0.011,0.006,0.004,0.006,0.01,0.008,0.001,0.005,0.002,0.001,0.008,0.004,M
0.037,0.059,0.063,0.053,0.026,0.142,0.207,0.273,0.307,0.26,0.348,0.4,0.457,0.595,0.792,0.827,0.809,0.898,0.983,0.898,0.889,0.937,0.912,0.794,0.672,0.632,0.486,0.339,0.483,0.382,0.308,0.127,0.074,0.151,0.191,0.182,0.171,0.095,0.283,0.301,0.16,0.148,0.288,0.205,0.106,0.14,0.106,0.053,0.04,0.018,0.035,0.012,0.006,0.024,0.003,0.009,0.012,0.011,0.01,0.013,M
0.01,0.031,0.054,0.041,0.061,0.104,0.102,0.139,0.259,0.374,0.423,0.45,0.54,0.43,0.333,0.35,0.343,0.285,0.406,0.683,0.765,0.667,0.57,0.6,0.648,0.861,0.982,0.938,0.844,0.607,0.54,0.689,0.598,0.324,0.052,0.316,0.359,0.388,0.572,0.431,0.305,0.439,0.43,0.483,0.508,0.195,0.154,0.204,0.105,0.025,0.036,0.018,0.002,0.01,0.013,0.004,0.004,0.003,0.003,0.003,M
0.006,0.027,0.022,0.056,0.094,0.115,0.071,0.1,0.167,0.186,0.248,0.271,0.293,0.264,0.188,0.14,0.203,0.261,0.278,0.335,0.383,0.4,0.511,0.686,0.749,0.784,0.902,1.0,0.889,0.651,0.608,0.446,0.295,0.173,0.149,0.08,0.177,0.138,0.24,0.205,0.197,0.278,0.138,0.068,0.066,0.166,0.181,0.124,0.052,0.004,0.018,0.007,0.006,0.007,0.007,0.008,0.004,0.002,0.003,0.001,M
0.033,0.042,0.047,0.082,0.084,0.076,0.037,0.096,0.055,0.019,0.09,0.173,0.194,0.28,0.331,0.502,0.636,0.71,0.833,0.873,0.807,0.751,0.753,0.73,0.618,0.495,0.453,0.41,0.454,0.412,0.314,0.319,0.369,0.378,0.447,0.478,0.472,0.466,0.389,0.426,0.406,0.371,0.386,0.28,0.128,0.112,0.13,0.079,0.044,0.022,0.013,0.008,0.017,0.018,0.004,0.013,0.007,0.004,0.013,0.009,M
0.012,0.074,0.037,0.022,0.008,0.054,0.111,0.107,0.171,0.227,0.317,0.288,0.266,0.231,0.189,0.179,0.23,0.372,0.622,0.726,0.793,0.804,0.807,0.917,0.933,0.956,1.0,0.982,0.868,0.638,0.4,0.324,0.284,0.241,0.232,0.126,0.069,0.07,0.144,0.148,0.044,0.047,0.148,0.174,0.156,0.165,0.118,0.072,0.032,0.006,0.02,0.014,0.01,0.01,0.003,0.003,0.004,0.004,0.006,0.004,M
