@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.102,0.551,0.521,-0.624,2.719,0
0.412,0.808,2.093,1.937,-0.578,0
0.248,0.667,0.729,-0.804,2.286,0
0.095,0.624,-0.79,2.613,0.0,0
0.249,1.039,3.199,-0.81,-0.372,0
0.111,0.44,-0.51,2.262,-0.752,0
0.064,0.279,0.342,-0.607,2.128,0
0.123,0.586,0.849,2.496,-0.797,0
-0.059,0.345,0.581,-0.648,-1.246,0
-0.199,-0.562,1.513,1.824,-0.622,0
3.892,-0.241,0.488,-0.127,-0.066,0
0.563,3.544,-0.707,0.456,0.484,0
0.252,1.139,3.111,-0.832,0.0,0
1.677,0.791,-0.41,2.004,-0.434,0
0.252,1.166,3.149,-0.726,-0.404,0
0.108,0.493,0.524,1.885,1.707,0
0.356,0.847,-1.823,-0.464,-0.294,0
0.259,0.381,0.92,2.362,-0.833,0
0.193,0.363,0.561,-0.964,1.578,0
0.241,0.511,0.665,2.272,-0.859,0
0.081,0.309,0.445,-0.697,1.824,0
0.334,0.442,0.958,2.175,-0.879,0
0.305,2.821,-0.423,-0.432,1.228,0
0.257,0.317,0.61,2.224,-0.794,0
1.063,1.705,-0.291,-0.277,1.781,0
0.158,0.416,0.499,2.135,-0.893,0
0.152,0.336,0.45,-0.608,1.78,0
0.14,0.369,0.453,2.025,-0.919,0
-0.121,1.064,2.83,-0.798,0.0,0
0.236,0.373,0.415,1.402,2.043,0
0.27,1.23,2.807,-0.812,-0.394,0
0.427,-1.045,-1.089,-0.444,-0.286,0
0.363,0.774,2.429,1.578,-0.523,0
3.773,-0.306,-0.128,-0.087,-0.065,0
0.271,1.024,2.694,-0.854,0.656,0
0.111,0.59,0.694,2.544,0.0,0
-0.32,-0.587,1.347,-0.637,-0.47,0
0.524,2.902,-0.59,1.191,-0.328,0
0.237,1.009,2.565,-0.848,0.614,0
0.149,0.867,1.701,2.015,-0.673,0
0.154,0.343,0.452,-0.59,1.742,0
0.104,0.356,0.453,1.809,-1.037,0
0.435,3.341,-0.518,-0.294,0.625,0
0.155,0.453,1.053,2.089,-0.71,0
0.773,3.556,-0.662,-0.25,-0.14,0
-1.044,1.572,-0.923,-0.406,0.0,0
3.644,-0.294,0.159,-0.072,-0.045,0
0.486,3.553,-0.57,-0.26,-0.159,0
3.619,-0.356,-0.146,0.091,-0.065,0
0.338,1.087,2.791,-0.824,-0.381,0
0.253,0.406,0.468,1.567,1.672,0
0.289,1.29,2.774,-0.784,-0.337,0
3.542,-0.331,-0.158,0.077,0.064,0
-1.046,-1.081,-0.35,-0.149,-0.126,0
3.731,0.623,-0.17,-0.083,-0.057,0
0.122,0.434,1.069,2.338,0.0,0
3.665,0.822,-0.158,-0.087,-0.055,0
0.104,0.463,1.052,2.313,0.0,0
0.218,1.075,2.677,-0.948,0.0,0
0.461,2.512,-0.492,1.421,-0.411,0
0.25,1.051,2.859,-0.724,0.0,0
0.542,3.126,-0.557,1.004,-0.27,0
3.516,-0.361,0.173,0.084,0.069,0
0.231,2.426,0.676,1.775,-0.545,0
3.53,-0.271,0.181,-0.078,0.071,0
3.639,0.608,-0.138,-0.095,-0.056,0
0.334,0.9,2.589,1.297,-0.544,0
3.356,-0.36,-0.132,-0.085,-0.072,0
0.3,1.64,2.633,-0.795,0.0,0
0.118,0.306,0.559,2.143,-0.666,0
0.599,2.53,-0.481,-0.343,1.107,0
0.291,0.678,1.448,2.1,-0.546,0
0.745,2.821,-0.503,-0.249,0.884,0
0.479,0.493,1.424,2.1,0.0,0
0.121,0.268,0.467,-0.611,-1.052,0
0.108,0.298,0.471,1.854,1.152,0
0.388,0.855,2.533,-0.636,-0.546,0
0.134,0.329,0.443,1.537,1.551,0
0.218,1.149,2.683,-0.724,-0.426,0
1.079,2.048,-0.439,1.475,-0.455,0
0.593,2.737,0.856,-0.336,1.173,0
0.157,0.432,0.837,1.902,-0.875,0
0.558,3.17,-0.711,-0.281,0.197,0
0.165,0.954,1.718,2.003,0.0,0
3.041,1.383,-0.265,0.691,-0.179,0
0.299,1.503,2.744,-0.632,0.0,0
0.47,2.984,-0.535,1.012,-0.351,0
0.349,0.653,2.448,-0.73,0.393,0
0.166,0.589,0.587,2.079,-0.769,0
-0.199,1.723,-1.007,-0.641,-0.315,0
0.356,3.227,-0.407,0.395,0.814,0
3.496,-0.273,0.18,0.11,-0.06,0
0.289,1.721,1.009,2.044,-0.563,0
1.722,0.517,2.305,-0.586,-0.218,0
0.545,3.467,-0.483,-0.222,-0.151,0
0.189,0.533,0.612,1.954,0.987,0
0.15,0.933,2.363,-0.742,-0.617,0
0.832,3.36,-0.573,0.593,0.305,0
3.177,-0.275,-0.111,0.09,-0.074,0
0.282,1.08,2.744,-0.726,0.0,0
0.128,0.351,0.582,2.105,-0.626,0
3.258,0.541,0.207,-0.17,0.648,0
0.246,0.559,1.911,1.542,-0.597,0
0.58,3.373,-0.566,-0.245,-0.146,0
0.317,0.745,1.503,1.61,1.167,0
0.43,3.32,-0.579,-0.24,-0.151,0
3.328,-0.317,0.134,0.095,0.055,0
-0.134,1.057,2.379,-0.822,0.0,0
0.53,2.976,-0.61,0.683,0.671,0
0.397,0.967,2.542,-0.79,-0.333,0
0.341,3.256,-0.561,0.3,0.194,0
3.597,0.63,0.352,0.407,-0.137,0
0.264,1.276,2.683,-0.635,-0.376,0
3.498,0.468,-0.117,-0.064,-0.041,0
2.424,-0.251,0.513,1.239,-0.32,0
1.092,2.369,-0.402,-0.383,0.898,0
0.138,0.361,0.526,1.951,-0.665,0
0.379,0.911,2.528,-0.584,0.518,0
3.459,0.478,-0.135,0.108,0.074,0
0.323,1.208,2.573,-0.702,-0.433,0
0.933,3.142,-0.585,0.545,0.354,0
0.378,0.982,2.602,-0.623,-0.331,0
0.582,3.251,-0.511,0.702,-0.25,0
0.466,1.06,2.642,-0.676,-0.242,0
0.135,0.267,0.421,1.007,1.695,0
0.144,0.858,2.303,-0.718,-0.535,0
0.409,3.187,-0.635,0.427,-0.187,0
3.092,-0.37,-0.131,-0.077,-0.051,0
-0.188,1.595,2.108,0.716,-0.332,0
3.459,0.695,-0.121,-0.081,0.055,0
0.211,0.538,0.841,2.189,0.0,0
0.212,1.31,2.543,-0.806,0.0,0
3.085,-0.229,-0.104,0.071,0.065,0
