@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.147,0.851,1.499,2.585,-0.996,0
-0.26,-0.825,-1.641,-1.494,0.0,0
-0.09,0.559,1.184,2.327,-1.0,0
0.235,1.178,2.537,-0.725,1.184,0
0.087,0.585,-0.67,2.38,0.0,0
0.249,1.147,3.108,-0.844,0.0,0
0.184,0.425,0.952,2.461,-0.845,0
0.187,0.518,0.709,-0.783,1.877,0
0.196,0.525,0.651,1.087,2.552,0
-0.053,4.32,-0.486,-0.243,-0.162,0
-1.595,0.679,-0.188,-0.127,-0.092,0
0.56,-1.17,1.664,-0.599,-0.315,0
0.254,3.163,-0.5,1.249,-0.376,0
0.257,1.182,2.417,-0.7,1.29,0
-0.101,-0.372,-0.421,0.878,1.853,0
0.288,1.247,2.861,-0.914,-0.366,0
0.44,0.977,2.731,1.29,-0.413,0
0.836,1.403,-0.26,-0.336,2.016,0
0.43,0.597,1.02,2.424,-0.746,0
0.269,0.579,0.86,-0.589,1.974,0
0.112,0.598,1.302,2.198,-0.826,0
0.266,0.593,0.835,-0.569,1.956,0
0.796,0.545,1.334,2.268,-0.653,0
0.361,2.402,1.027,-0.654,1.309,0
-0.082,0.579,1.385,1.848,-0.912,0
0.167,0.402,0.467,-0.607,1.807,0
0.269,0.362,0.661,2.266,-0.705,0
0.598,2.118,1.005,-0.487,1.555,0
2.918,0.315,-0.926,0.508,-0.253,0
0.313,1.268,2.852,-0.841,-0.445,0
0.235,0.368,0.404,1.219,2.13,0
0.364,1.876,2.619,-0.613,-0.267,0
0.811,2.064,-0.454,-0.342,1.431,0
0.127,0.705,1.639,2.19,0.0,0
0.471,2.649,-0.587,1.463,-0.486,0
0.25,1.027,2.634,-0.859,0.611,0
0.55,3.32,-0.606,0.65,0.875,0
0.189,0.529,2.646,-0.704,0.382,0
0.883,1.942,-0.443,1.609,-0.483,0
1.271,1.743,-0.315,-0.404,1.494,0
0.094,0.508,1.107,2.071,-0.789,0
0.683,1.585,0.878,-0.395,1.72,0
0.794,0.514,1.248,2.127,-0.652,0
1.302,1.719,-0.343,-0.388,1.409,0
0.126,0.476,1.238,2.343,0.0,0
3.75,-0.256,0.24,0.194,-0.071,0
0.266,3.155,-0.48,0.434,1.022,0
3.451,-0.296,0.682,0.204,-0.071,0
0.274,3.21,-0.507,0.411,0.834,0
0.253,0.406,0.468,1.568,1.673,0
0.325,1.122,2.831,-0.798,-0.366,0
0.159,0.356,0.591,1.763,1.424,0
0.268,1.333,2.89,-0.748,0.0,0
3.772,0.877,-0.15,0.11,0.198,0
0.15,0.661,1.404,2.273,0.0,0
0.635,3.459,-0.525,-0.291,0.332,0
