@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1.103,0.789,-0.123,0.075,-0.059,0
0.6,1.791,1.23,0.983,1.141,0
0.171,0.958,2.044,-0.762,-0.596,0
2.399,0.797,0.392,-0.116,-0.045,0
0.99,2.66,-0.403,-0.164,0.148,0
0.099,0.258,0.332,1.391,1.838,0
0.178,1.152,1.846,-0.477,-0.201,0
0.319,1.027,2.416,1.356,0.0,0
1.349,2.589,-0.44,0.251,0.441,0
2.76,0.279,0.185,0.21,-0.075,0
0.154,0.388,0.555,2.153,-0.829,0
0.205,1.266,1.981,-0.874,0.0,0
2.911,0.745,-0.168,0.264,-0.093,0
0.242,1.661,1.102,0.4,-0.164,0
0.515,2.105,1.592,-0.564,0.0,0
0.197,0.858,1.924,1.41,-0.48,0
0.256,2.111,1.173,-0.532,-0.244,0
0.16,1.022,1.933,-0.625,-0.261,0
0.222,1.017,2.425,1.076,-0.367,0
0.815,1.8,-0.29,0.217,-0.304,0
0.849,1.656,0.464,0.186,0.0,0
1.906,-0.347,0.154,-0.09,0.071,0
0.536,3.273,-0.604,-0.307,-0.356,0
0.279,2.745,-0.406,0.231,0.161,0
0.257,0.317,0.61,2.224,-0.794,0
0.189,0.529,2.646,-0.704,0.382,0
2.486,0.532,0.234,0.087,0.071,0
1.557,1.84,-0.232,-0.116,0.096,0
1.122,2.532,-0.358,-0.158,0.272,0
0.462,2.713,0.884,0.481,0.242,0
1.107,1.532,-0.338,-0.113,-0.081,0
0.319,3.013,-0.563,0.295,0.19,0
0.494,2.442,-0.442,0.233,-0.134,0
1.185,2.24,-0.477,-0.171,0.0,0
3.074,0.471,-0.12,-0.069,-0.049,0
2.441,0.467,0.25,-0.08,0.071,0
0.519,1.999,2.438,-0.632,-0.309,0
2.092,1.178,0.318,0.242,-0.067,0
2.509,0.294,0.176,0.214,-0.068,0
0.383,1.267,1.145,0.575,-0.212,0
2.556,0.718,0.37,-0.085,-0.063,0
2.915,0.596,0.294,-0.075,0.066,0
0.277,1.333,2.228,-0.536,0.551,0
0.158,0.281,0.389,1.072,1.464,0
3.184,0.486,-0.108,-0.064,-0.038,0
2.646,0.98,-0.149,-0.092,-0.039,0
2.819,0.719,1.333,-0.26,-0.104,0
1.58,1.639,0.709,0.28,0.357,0
1.021,2.274,-0.52,-0.19,-0.12,0
0.118,0.263,0.533,1.373,1.235,0
0.364,2.186,-0.535,0.215,0.149,0
0.513,2.237,2.028,-0.496,-0.249,0
0.428,0.796,1.302,1.773,-0.608,0
2.039,1.226,0.508,0.35,-0.135,0
2.063,0.363,-0.091,0.09,-0.052,0
2.956,0.36,1.436,-0.266,-0.128,0
0.42,2.394,1.358,0.675,0.0,0
0.131,0.316,0.492,-0.883,0.0,0
0.657,2.138,0.619,0.292,-0.149,0
0.757,2.97,-0.461,-0.192,0.151,0
2.91,0.359,0.285,0.149,-0.081,0
0.096,0.526,-1.117,1.757,0.0,0
0.421,2.318,1.101,0.546,-0.252,0
2.451,-0.211,0.222,0.166,-0.062,0
-0.059,0.345,0.581,-0.648,-1.246,0
0.226,1.272,1.624,-0.461,0.0,0
-0.239,-0.788,-0.517,-0.287,-0.152,0
0.455,2.401,-0.457,-0.242,-0.123,0
0.702,3.001,-0.525,-0.234,-0.129,0
0.749,2.499,1.538,-0.428,-0.219,0
3.644,-0.294,0.159,-0.072,-0.045,0
0.799,2.609,-0.435,-0.262,-0.246,0
2.404,0.651,-0.118,0.073,0.045,0
0.816,2.06,-0.45,-0.191,-0.113,0
1.156,1.86,-0.268,-0.115,-0.084,0
0.157,0.432,0.837,1.902,-0.875,0
0.339,0.933,1.327,-0.334,-0.194,0
1.492,0.795,-0.142,0.108,0.082,0
2.254,1.491,0.895,0.624,-0.185,0
1.4,1.01,0.296,0.159,-0.166,0
-0.199,1.723,-1.007,-0.641,-0.315,0
0.913,2.728,-0.394,0.492,0.686,0
0.081,0.309,0.445,-0.697,1.824,0
0.738,1.888,0.451,0.261,-0.261,0
0.132,1.589,1.012,0.685,0.0,0
0.421,1.589,0.578,-0.226,-0.113,0
2.099,0.889,-0.175,0.09,-0.076,0
0.268,2.164,0.991,0.63,0.0,0
1.838,0.583,-0.084,0.091,0.062,0
0.74,2.32,-0.321,0.208,0.15,0
0.043,0.276,0.423,-0.545,0.0,0
1.72,1.719,0.384,0.37,0.846,0
0.158,0.475,0.468,0.778,0.0,0
0.457,3.001,-0.43,-0.189,-0.166,0
2.153,1.127,0.359,-0.105,-0.062,0
0.642,2.75,0.852,0.322,0.188,0
2.235,0.97,0.341,0.366,0.617,0
1.139,0.866,0.238,0.096,0.081,0
1.05,1.982,0.613,1.541,-0.359,0
2.631,0.604,-0.12,0.098,-0.061,0
2.18,1.275,0.459,0.427,-0.234,0
0.263,0.913,2.603,-0.687,-0.337,0
0.058,0.207,-0.126,-0.348,1.112,0
0.265,1.313,2.753,-0.78,0.0,0
1.766,1.457,0.509,0.27,0.797,0
0.211,1.473,1.838,0.714,0.0,0
0.477,3.228,-0.618,-0.288,-0.154,0
0.348,0.475,0.973,2.294,-0.962,0
0.201,1.369,1.387,0.507,-0.177,0
0.597,2.565,-0.506,-0.261,-0.162,0
0.233,0.632,0.642,0.724,0.0,0
0.189,0.363,0.528,-0.789,1.537,0
0.35,2.637,-0.533,-0.26,-0.136,0
1.735,1.654,1.561,-0.351,-0.165,0
0.279,1.643,0.865,0.331,-0.118,0
1.946,1.19,0.265,0.111,-0.065,0
0.368,3.033,-0.68,0.476,0.682,0
1.796,0.858,0.313,0.189,-0.131,0
0.669,1.976,1.71,-0.43,0.0,0
2.975,0.585,-0.127,0.086,-0.05,0
1.524,1.948,-0.282,-0.127,-0.097,0
0.206,1.328,1.4,-0.406,0.0,0
0.159,1.123,1.377,-0.459,-0.178,0
0.56,2.19,1.354,-0.512,-0.224,0
2.174,1.091,-0.128,0.105,0.076,0
0.735,2.882,1.014,-0.355,0.216,0
0.362,1.662,2.35,-0.636,0.0,0
0.965,1.935,0.837,1.316,-0.404,0
0.341,1.523,-0.519,0.373,-0.13,0
0.139,0.838,2.266,-0.714,-0.61,0
0.265,2.037,0.992,0.625,0.0,0
0.438,0.442,1.164,1.157,0.813,0
0.142,0.573,1.504,1.693,0.0,0
0.353,2.807,-0.541,0.303,-0.14,0
0.269,1.117,2.659,-0.671,-0.328,0
1.37,2.042,-0.356,0.214,0.23,0
0.257,1.15,1.834,-0.751,-0.301,0
0.401,1.813,1.245,0.505,-0.234,0
3.639,0.608,-0.138,-0.095,-0.056,0
0.337,1.81,1.486,-0.41,-0.259,0
0.536,0.795,2.354,1.06,-0.347,0
2.286,1.321,0.696,-0.171,0.204,0
0.383,1.876,0.687,0.306,0.0,0
3.306,0.653,0.313,0.669,-0.218,0
0.245,1.495,1.543,0.718,-0.4,0
1.301,2.515,1.07,0.553,-0.166,0
1.425,1.819,-0.248,-0.135,0.125,0
0.74,3.439,-0.486,-0.276,0.284,0
1.483,1.798,0.666,0.921,0.707,0
0.059,0.287,0.439,-0.522,0.0,0
2.531,0.387,0.64,1.019,-0.337,0
0.562,2.911,-0.433,-0.224,0.187,0
0.808,1.69,-0.371,-0.151,-0.103,0
0.139,0.342,0.668,1.827,0.0,0
1.311,2.079,-0.433,0.201,-0.252,0
0.12,0.342,0.575,2.155,-0.634,0
0.356,0.551,1.79,1.089,0.986,0
0.502,2.169,0.845,-0.253,-0.158,0
0.236,0.368,0.404,1.22,2.13,0
0.64,2.521,1.073,0.387,-0.215,0
0.269,1.522,1.144,-0.469,0.338,0
-0.668,-0.709,-0.391,-0.143,-0.089,0
0.359,0.601,1.712,0.928,0.925,0
0.274,2.028,0.992,0.406,0.0,0
1.565,0.495,0.123,0.11,-0.18,0
1.083,0.761,-0.153,0.076,0.055,0
2.216,0.504,0.159,0.099,-0.089,0
0.807,1.334,0.504,0.168,-0.081,0
0.516,1.509,2.2,0.783,-0.478,0
0.228,1.044,2.337,-0.663,0.0,0
3.239,0.65,-0.139,-0.067,0.058,0
0.902,2.825,-0.413,-0.171,-0.128,0
0.504,2.877,-0.717,0.385,-0.161,0
0.266,0.593,0.835,-0.569,1.956,0
0.206,1.121,1.296,0.498,-0.246,0
0.169,1.441,1.267,0.545,-0.214,0
0.386,1.497,1.213,0.493,0.254,0
0.127,0.455,1.162,2.31,0.0,0
0.095,0.624,-0.79,2.613,0.0,0
0.273,1.03,1.515,0.792,0.411,0
0.403,3.058,-0.594,0.407,-0.189,0
0.069,0.269,0.337,0.931,1.571,0
0.511,2.783,-0.523,0.345,-0.156,0
2.03,0.636,-0.098,0.078,0.056,0
2.786,-0.269,0.124,0.11,0.063,0
0.43,2.541,1.083,-0.482,0.0,0
0.533,2.581,-0.595,-0.227,-0.123,0
0.414,1.584,1.4,0.571,-0.458,0
2.441,0.306,0.14,0.176,-0.065,0
0.147,0.569,0.732,2.224,-0.639,0
2.898,0.474,1.043,-0.234,-0.099,0
0.255,0.496,1.861,0.936,0.456,0
1.898,0.651,0.157,0.203,-0.124,0
3.167,0.529,-0.143,0.172,-0.063,0
0.619,3.052,0.601,0.951,-0.329,0
0.23,1.749,-0.395,0.34,-0.12,0
1.198,2.3,-0.462,-0.17,-0.106,0
1.712,1.764,0.375,0.511,0.589,0
1.013,1.772,-0.324,0.206,0.137,0
0.257,1.09,1.917,-0.443,-0.233,0
0.65,2.187,-0.387,-0.179,0.181,0
0.729,2.055,-0.436,-0.183,0.165,0
0.365,1.607,1.354,-0.462,0.0,0
0.332,1.406,1.79,-0.444,-0.255,0
-0.645,1.771,-0.393,-0.195,-0.124,0
2.112,1.354,-0.184,-0.097,0.077,0
0.227,0.686,1.339,1.873,-0.671,0
3.059,-0.314,-0.104,0.078,-0.051,0
0.095,0.413,0.362,0.544,0.0,0
0.239,0.547,0.397,0.904,1.064,0
2.637,0.482,0.179,0.133,-0.05,0
1.909,0.249,-0.08,0.102,-0.07,0
0.365,0.624,1.886,0.956,-0.393,0
0.091,0.592,0.613,0.858,0.868,0
0.137,0.894,2.211,-0.765,0.0,0
1.363,1.704,-0.318,-0.133,-0.079,0
0.286,1.034,2.5,-0.732,0.0,0
3.056,0.572,1.055,-0.219,-0.093,0
0.198,1.356,1.442,-0.491,-0.181,0
0.43,0.597,1.02,2.424,-0.746,0
0.365,1.946,-0.279,-0.137,-0.091,0
1.529,1.078,-0.154,-0.072,0.066,0
1.667,1.272,-0.24,0.204,0.163,0
0.368,0.889,2.206,1.105,0.432,0
2.852,0.393,-0.115,0.11,0.099,0
0.308,1.214,0.546,0.307,0.0,0
0.418,2.138,1.839,0.707,-0.337,0
0.699,1.752,1.249,-0.341,0.0,0
0.651,1.128,1.883,-0.506,0.417,0
0.372,0.48,1.904,1.296,0.809,0
0.338,1.087,2.791,-0.824,-0.381,0
0.107,0.288,0.443,1.758,1.26,0
0.253,1.877,-0.412,0.262,-0.106,0
1.677,1.795,-0.379,-0.269,0.929,0
0.179,0.426,0.679,1.696,0.0,0
0.211,1.327,2.243,-0.647,-0.297,0
0.19,0.496,0.893,1.781,-0.507,0
2.84,1.351,0.36,0.679,-0.16,0
0.81,1.545,-0.303,0.181,-0.087,0
0.371,1.042,2.799,-0.786,0.0,0
0.346,1.786,1.235,0.459,-0.209,0
0.145,0.331,0.458,-0.741,0.0,0
0.336,2.902,-0.662,0.552,1.028,0
0.699,2.295,0.67,0.403,-0.391,0
0.239,0.883,2.657,-0.735,0.544,0
1.558,0.539,-0.087,0.08,0.062,0
2.539,1.247,-0.263,0.146,0.269,0
-0.053,0.502,1.327,1.72,-0.594,0
1.857,1.077,1.08,-0.289,0.194,0
1.353,3.078,0.872,0.348,0.0,0
1.406,2.253,-0.535,-0.201,0.1,0
1.331,1.429,0.662,1.619,-0.467,0
0.596,2.869,-0.439,0.242,0.196,0
1.062,2.243,-0.394,-0.199,-0.175,0
1.802,0.855,1.353,0.851,0.525,0
1.16,1.236,-0.238,-0.093,-0.058,0
0.539,2.612,0.964,0.511,-0.192,0
0.378,0.982,2.602,-0.623,-0.331,0
0.456,2.64,-0.604,-0.238,-0.123,0
0.825,1.944,-0.342,0.167,0.0,0
0.324,1.276,0.55,0.378,0.385,0
0.274,1.114,1.446,0.558,-0.384,0
0.499,2.156,1.685,-0.588,0.0,0
0.076,0.254,0.229,0.383,-0.375,0
0.231,1.25,1.936,-0.53,-0.497,0
3.137,-0.266,0.108,0.091,-0.082,0
1.128,1.33,-0.291,-0.114,0.0,0
0.212,1.23,1.895,-0.561,0.0,0
-0.147,1.023,1.96,0.901,0.0,0
0.642,1.871,-0.317,-0.141,0.0,0
3.164,0.728,-0.145,0.101,0.054,0
1.509,1.922,0.539,1.303,-0.333,0
0.651,2.655,0.991,0.575,-0.228,0
2.321,0.872,0.503,1.212,-0.375,0
1.461,1.555,0.384,0.271,0.149,0
0.65,3.308,-0.468,-0.263,0.6,0
1.302,2.389,-0.356,-0.159,0.225,0
2.131,0.528,0.131,0.072,0.06,0
0.198,1.65,0.707,0.333,0.179,0
0.246,0.603,0.553,1.518,1.325,0
-0.134,1.057,2.379,-0.822,0.0,0
0.419,1.303,0.851,0.463,-0.148,0
0.146,0.786,0.39,0.702,0.91,0
0.249,1.147,3.108,-0.844,0.0,0
2.255,0.648,-0.111,0.111,-0.049,0
3.229,0.401,0.451,0.717,-0.291,0
0.334,0.9,2.589,1.297,-0.544,0
3.489,0.378,-0.122,-0.068,-0.049,0
1.304,1.082,0.306,0.137,0.104,0
0.701,2.062,-0.513,-0.242,-0.126,0
1.515,1.091,-0.152,-0.072,0.068,0
0.106,0.458,0.931,0.0,0.0,0
0.349,1.248,2.225,-0.7,0.49,0
0.137,0.268,0.41,0.996,1.737,0
0.288,1.589,2.961,-0.863,0.0,0
0.576,2.703,1.06,0.599,-0.229,0
0.436,3.27,-0.513,0.338,0.678,0
0.374,1.217,1.518,0.693,-0.502,0
1.11,0.729,-0.13,0.089,0.094,0
2.884,1.03,0.349,0.219,-0.236,0
0.345,1.708,0.567,0.246,0.138,0
0.195,1.537,1.311,0.581,0.0,0
0.417,1.5,-0.407,-0.153,-0.103,0
0.347,2.408,0.624,0.347,-0.311,0
0.58,3.373,-0.566,-0.245,-0.146,0
2.459,0.293,0.129,0.075,0.061,0
