@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
1.101,0.717,-0.101,0.068,-0.068,0
0.389,2.467,0.795,0.688,1.2,0
0.159,0.935,2.185,-0.991,-0.428,0
2.241,0.78,0.341,-0.092,-0.053,0
1.109,2.796,-0.443,-0.199,0.278,0
0.107,0.274,0.337,1.426,1.803,0
0.168,1.108,1.706,-0.483,-0.201,0
0.243,1.014,2.373,1.039,0.0,0
1.165,2.441,-0.475,0.367,0.355,0
2.724,0.297,0.192,0.222,-0.084,0
0.145,0.384,0.491,2.14,-0.834,0
-0.145,1.424,1.738,-0.798,0.0,0
3.041,1.383,-0.265,0.691,-0.179,0
0.303,1.696,1.027,0.449,-0.241,0
0.391,1.762,1.66,-0.448,0.0,0
0.249,0.553,1.892,1.658,-0.571,0
0.369,1.788,1.134,-0.448,0.0,0
-0.309,0.907,1.961,-0.659,-0.371,0
0.291,1.161,2.308,0.877,-0.369,0
0.838,1.825,-0.389,0.296,-0.43,0
0.727,1.561,0.564,0.236,0.214,0
2.283,-0.2,0.092,0.071,-0.067,0
0.603,3.191,-0.558,-0.27,-0.384,0
0.225,2.497,-0.567,0.278,0.175,0
0.256,0.33,0.62,2.29,-0.736,0
0.204,0.567,2.562,-0.649,0.398,0
2.602,0.404,0.131,0.1,0.059,0
1.798,1.851,-0.275,-0.124,0.163,0
1.052,2.559,-0.349,-0.147,0.173,0
0.219,2.564,0.733,0.347,0.227,0
1.195,1.537,-0.344,-0.115,-0.083,0
0.286,2.793,-0.459,0.22,0.156,0
0.271,2.481,-0.485,0.312,-0.14,0
1.036,2.038,-0.346,-0.127,0.099,0
3.015,0.337,-0.117,-0.078,-0.052,0
2.31,0.325,0.38,-0.085,0.071,0
0.606,2.024,2.367,-0.615,-0.322,0
2.055,1.169,0.301,0.234,-0.066,0
2.444,0.273,0.139,0.156,-0.063,0
0.334,1.312,0.99,0.464,-0.201,0
2.652,0.972,0.252,0.083,-0.052,0
3.13,0.54,0.201,-0.067,-0.038,0
0.262,1.54,2.029,-0.76,0.65,0
0.083,0.345,0.349,1.171,1.321,0
3.223,0.698,-0.13,-0.061,-0.046,0
2.398,1.156,-0.248,-0.077,0.0,0
2.761,1.125,1.297,-0.215,-0.097,0
1.575,1.624,0.778,0.398,0.394,0
0.924,2.334,-0.479,-0.175,-0.109,0
0.09,0.311,0.43,1.454,1.135,0
0.432,2.114,-0.426,0.224,0.14,0
0.699,2.221,1.728,-0.482,-0.21,0
0.453,0.577,1.37,1.883,-0.557,0
2.035,1.325,0.513,0.373,-0.135,0
2.302,0.351,-0.09,-0.052,0.045,0
2.509,0.448,1.68,-0.387,-0.146,0
0.435,2.563,1.044,0.741,0.0,0
0.17,0.46,0.684,-0.74,0.0,0
0.71,2.25,0.718,0.272,-0.117,0
0.729,3.026,-0.471,-0.192,0.185,0
2.878,0.341,0.274,0.148,-0.076,0
0.111,0.44,-0.51,2.262,-0.752,0
0.368,2.197,1.093,0.634,-0.3,0
2.406,-0.221,0.216,0.198,-0.067,0
0.078,0.338,0.465,-0.538,-1.026,0
0.218,1.463,1.531,-0.523,0.0,0
-0.185,-0.656,-0.802,-0.64,-0.32,0
0.487,2.467,-0.428,-0.213,-0.121,0
0.667,3.055,-0.507,-0.226,-0.128,0
0.541,2.446,1.583,-0.44,-0.212,0
3.802,-0.393,0.153,-0.082,-0.055,0
0.837,2.421,-0.601,-0.271,-0.136,0
2.377,0.65,-0.122,-0.071,0.047,0
0.636,1.985,-0.362,-0.162,0.0,0
1.236,1.94,-0.356,-0.177,-0.107,0
0.18,0.636,0.731,1.762,-0.725,0
0.456,1.275,1.554,-0.418,-0.364,0
1.472,0.728,-0.13,0.112,0.121,0
2.537,1.261,0.997,0.523,-0.154,0
1.471,1.344,0.444,0.155,-0.226,0
1.295,1.097,-0.779,-0.596,-0.316,0
1.051,2.749,-0.42,0.301,0.619,0
0.167,0.402,0.467,-0.607,1.807,0
0.88,2.143,0.546,0.306,-0.234,0
0.249,1.315,1.175,0.572,0.0,0
0.427,1.543,0.576,-0.193,-0.123,0
1.936,0.557,-0.107,0.14,-0.206,0
-0.146,2.06,1.0,0.441,0.0,0
1.653,0.732,-0.095,0.065,0.047,0
0.79,2.386,-0.403,0.24,0.164,0
0.058,0.245,0.368,-0.427,0.0,0
1.508,1.605,0.657,0.801,0.942,0
