@RELATION myRel

@ATTRIBUTE Pulse1 NUMERIC
@ATTRIBUTE Pulse3 NUMERIC
@ATTRIBUTE Pulse4 NUMERIC
@ATTRIBUTE Pulse5 NUMERIC
@ATTRIBUTE Pulse6 NUMERIC
@ATTRIBUTE Pulse7 NUMERIC
@ATTRIBUTE Pulse8 NUMERIC
@ATTRIBUTE Pulse9 NUMERIC
@ATTRIBUTE Pulse10 NUMERIC
@ATTRIBUTE Pulse11 NUMERIC
@ATTRIBUTE Pulse12 NUMERIC
@ATTRIBUTE Pulse13 NUMERIC
@ATTRIBUTE Pulse14 NUMERIC
@ATTRIBUTE Pulse15 NUMERIC
@ATTRIBUTE Pulse16 NUMERIC
@ATTRIBUTE Pulse17 NUMERIC
@ATTRIBUTE Pulse18 NUMERIC
@ATTRIBUTE Pulse19 NUMERIC
@ATTRIBUTE Pulse20 NUMERIC
@ATTRIBUTE Pulse21 NUMERIC
@ATTRIBUTE Pulse22 NUMERIC
@ATTRIBUTE Pulse23 NUMERIC
@ATTRIBUTE Pulse24 NUMERIC
@ATTRIBUTE Pulse25 NUMERIC
@ATTRIBUTE Pulse26 NUMERIC
@ATTRIBUTE Pulse27 NUMERIC
@ATTRIBUTE Pulse28 NUMERIC
@ATTRIBUTE Pulse29 NUMERIC
@ATTRIBUTE Pulse30 NUMERIC
@ATTRIBUTE Pulse31 NUMERIC
@ATTRIBUTE Pulse32 NUMERIC
@ATTRIBUTE Pulse33 NUMERIC
@ATTRIBUTE Pulse34 NUMERIC
@ATTRIBUTE Class {g, b}

@DATA
0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,b
1.0,0.064,-0.153,-0.044,0.059,0.084,-0.025,-0.015,0.187,0.064,0.0,0.123,-0.099,0.059,0.0,0.02,-0.03,-0.128,-0.207,0.069,0.015,0.069,0.03,0.079,0.163,0.281,-0.049,-0.059,-0.094,0.044,0.054,0.074,-0.108,b
1.0,0.023,-0.006,-0.099,-0.119,-0.008,-0.118,0.147,0.066,0.038,-0.063,0.0,0.0,-0.046,-0.155,-0.003,-0.102,-0.116,-0.054,0.018,0.037,0.015,0.009,0.035,-0.015,-0.032,0.092,-0.079,0.007,0.0,0.0,-0.0,0.12,b
1.0,-0.019,-0.085,0.0,0.0,0.0,0.0,0.115,-0.268,-0.457,-0.382,0.0,0.0,-0.337,0.386,-0.371,0.15,0.637,0.221,0.0,0.0,0.0,0.0,-0.148,-0.013,0.206,-0.023,0.0,0.0,0.166,0.241,-0.082,0.381,b
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.333,0.167,0.26,0.0,0.0,0.0,0.0,0.0,0.0,-0.198,-0.219,-0.167,0.906,-1.0,0.5,0.042,0.75,-0.229,-1.0,-0.125,-0.271,-0.198,-0.938,b
1.0,0.0,0.0,1.0,0.129,0.884,-0.02,0.0,0.0,1.0,-0.424,1.0,0.196,1.0,-0.053,1.0,-0.816,0.0,0.0,1.0,-0.04,1.0,-0.187,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.118,0.907,-0.096,b
1.0,0.598,0.403,0.828,0.805,0.76,0.707,0.84,-0.11,0.973,0.08,0.958,-0.857,0.92,0.884,0.955,-0.052,0.887,0.181,0.985,-0.696,0.867,-0.858,0.286,-0.301,1.0,0.171,0.63,0.427,0.878,0.81,0.82,0.688,b
1.0,0.846,-0.086,-0.317,-0.806,-0.09,-0.564,0.806,0.046,0.895,-0.008,-0.185,0.64,-0.2,-0.681,0.857,-0.113,0.78,-0.157,-0.07,0.508,-0.341,0.809,0.789,-0.037,0.709,-0.253,0.779,-0.141,-0.214,-0.782,-0.185,-0.599,b
1.0,0.101,0.108,0.0,0.0,0.0,0.0,0.547,0.824,0.311,1.0,0.0,0.0,0.0,0.0,0.372,-1.0,0.331,-1.0,0.0,0.0,0.0,0.0,-0.426,-1.0,1.0,-1.0,0.554,-0.236,0.0,0.0,0.0,0.0,b
1.0,0.621,-0.636,0.0,0.0,0.0,0.0,0.345,0.288,0.428,0.394,-0.076,0.519,0.364,0.314,-0.538,0.33,0.121,-0.148,0.019,-0.534,-0.576,0.178,0.292,-0.273,0.258,-0.576,0.432,0.242,0.182,-0.023,0.17,-0.417,b
