@RELATION myRel

@ATTRIBUTE At1 NUMERIC
@ATTRIBUTE At2 NUMERIC
@ATTRIBUTE Class {-1.0, 1.0}

@DATA
-1.63,0.293,-1.0
-1.53,0.39,-1.0
-1.42,0.275,-1.0
-1.63,0.101,-1.0
-1.68,0.398,-1.0
-1.85,0.545,-1.0
-1.75,0.722,-1.0
-1.62,0.593,-1.0
-1.47,0.52,-1.0
-1.56,0.514,-1.0
-1.73,0.562,-1.0
-1.53,0.658,-1.0
-1.57,0.679,-1.0
-1.6,0.788,-1.0
-1.49,0.744,-1.0
-1.38,0.678,-1.0
-1.3,0.577,-1.0
-1.25,0.479,-1.0
-1.19,0.309,-1.0
-1.13,0.6,-1.0
-1.12,0.699,-1.0
-1.28,0.72,-1.0
-1.37,0.808,-1.0
-1.34,0.869,-1.0
-1.29,0.891,-1.0
-1.2,0.92,-1.0
-1.06,0.917,-1.0
-1.08,1.01,-1.0
-1.02,0.968,-1.0
-1.06,0.817,-1.0
-1.22,0.831,-1.0
-1.1,0.737,-1.0
-1.03,0.681,-1.0
-1.02,0.619,-1.0
-0.975,0.725,-1.0
-0.804,0.687,-1.0
-0.878,0.659,-1.0
-0.951,0.533,-1.0
-0.723,0.633,-1.0
-0.734,0.881,-1.0
-0.85,0.963,-1.0
-0.741,0.979,-1.0
-0.66,0.965,-1.0
-0.766,1.06,-1.0
-0.75,1.14,-1.0
-0.701,1.17,-1.0
-0.639,1.25,-1.0
-0.563,1.29,-1.0
-0.632,1.35,-1.0
-0.734,1.25,-1.0
-0.803,1.25,-1.0
-0.892,1.25,-1.0
-0.96,1.34,-1.0
-0.9,1.49,-1.0
-0.843,1.4,-1.0
-0.672,1.35,-1.0
-0.621,1.52,-1.0
-0.68,1.68,-1.0
-0.451,1.72,-1.0
-0.341,1.55,-1.0
-0.304,1.5,-1.0
-0.214,1.58,-1.0
-0.0536,1.6,-1.0
-0.0939,1.68,-1.0
-0.145,1.65,-1.0
-0.301,1.69,-1.0
-0.507,1.89,-1.0
-0.218,2.09,-1.0
0.133,2.05,-1.0
0.191,1.94,-1.0
0.212,1.81,-1.0
0.137,1.69,-1.0
0.0114,1.66,-1.0
-0.0338,1.52,-1.0
-0.137,1.44,-1.0
0.0941,1.44,-1.0
0.218,1.32,-1.0
0.15,1.3,-1.0
0.335,1.15,-1.0
0.41,1.01,-1.0
0.344,0.908,-1.0
0.447,0.92,-1.0
0.536,0.921,-1.0
0.611,0.978,-1.0
0.708,0.961,-1.0
0.763,0.921,-1.0
0.792,0.988,-1.0
0.811,1.07,-1.0
0.67,1.15,-1.0
0.599,1.14,-1.0
0.56,1.18,-1.0
0.52,1.21,-1.0
0.488,1.31,-1.0
0.535,1.4,-1.0
0.551,1.48,-1.0
0.487,1.45,-1.0
0.495,1.54,-1.0
0.373,1.48,-1.0
0.353,1.58,-1.0
0.369,1.69,-1.0
0.423,1.74,-1.0
0.533,1.76,-1.0
0.553,1.54,-1.0
0.752,1.58,-1.0
0.84,1.42,-1.0
0.803,1.35,-1.0
0.707,1.37,-1.0
0.612,1.37,-1.0
0.637,1.25,-1.0
0.58,1.17,-1.0
0.523,1.05,-1.0
0.486,0.991,-1.0
0.432,0.749,-1.0
0.584,0.679,-1.0
0.563,0.661,-1.0
0.329,0.606,-1.0
0.498,0.567,-1.0
0.586,0.402,-1.0
0.722,0.368,-1.0
0.848,0.402,-1.0
0.781,0.415,-1.0
0.716,0.487,-1.0
0.774,0.617,-1.0
0.883,0.598,-1.0
0.932,0.501,-1.0
1.01,0.48,-1.0
1.06,0.443,-1.0
1.05,0.472,-1.0
1.18,0.507,-1.0
1.22,0.541,-1.0
1.16,0.598,-1.0
1.15,0.634,-1.0
1.29,0.622,-1.0
1.28,0.691,-1.0
1.25,0.794,-1.0
1.19,0.812,-1.0
1.08,0.79,-1.0
1.03,0.766,-1.0
1.01,0.829,-1.0
1.06,0.842,-1.0
1.02,0.72,-1.0
1.05,0.651,-1.0
1.1,0.604,-1.0
1.01,0.555,-1.0
0.971,0.64,-1.0
0.933,0.716,-1.0
0.93,0.65,-1.0
0.952,0.427,-1.0
0.934,0.358,-1.0
0.88,0.275,-1.0
0.987,0.258,-1.0
1.06,0.266,-1.0
1.15,0.329,-1.0
1.2,0.286,-1.0
1.26,0.305,-1.0
1.39,0.262,-1.0
1.45,0.229,-1.0
1.38,0.131,-1.0
1.29,0.152,-1.0
1.3,0.196,-1.0
1.29,0.23,-1.0
1.21,0.197,-1.0
1.12,0.173,-1.0
1.07,0.0877,-1.0
0.957,0.0986,-1.0
0.904,0.195,-1.0
1.21,0.151,-1.0
1.21,0.0512,-1.0
1.25,-0.00263,-1.0
1.08,-0.000817,-1.0
1.27,0.0842,-1.0
1.33,-0.0802,-1.0
1.24,-0.145,-1.0
1.23,-0.0997,-1.0
1.25,-0.202,-1.0
1.34,-0.261,-1.0
1.42,-0.146,-1.0
1.46,-0.0465,-1.0
1.41,0.0907,-1.0
1.53,0.0838,-1.0
1.65,0.0404,-1.0
1.77,0.239,-1.0
1.83,0.452,-1.0
1.57,0.483,-1.0
1.39,0.504,-1.0
1.4,0.377,-1.0
1.49,0.365,-1.0
1.53,0.228,-1.0
