@RELATION myRel

@ATTRIBUTE At1 NUMERIC
@ATTRIBUTE At2 NUMERIC
@ATTRIBUTE Class {-1.0, 1.0}

@DATA
1.19,0.697,-1.0
-0.9,0.858,-1.0
-0.592,-1.17,-1.0
-0.419,1.4,-1.0
-0.11,-1.21,-1.0
-0.357,1.51,-1.0
1.16,0.776,-1.0
0.265,-1.06,-1.0
-1.1,0.811,-1.0
-0.254,-1.27,-1.0
-0.995,-1.39,-1.0
-0.859,0.885,-1.0
0.698,1.02,-1.0
-0.562,-1.01,-1.0
0.91,0.864,-1.0
1.68,0.113,-1.0
1.97,-0.772,-1.0
1.12,0.422,-1.0
-0.487,-1.19,-1.0
1.25,-0.35,-1.0
0.995,0.502,-1.0
-0.901,-1.56,-1.0
0.321,1.58,-1.0
-0.676,0.797,-1.0
0.489,0.904,-1.0
0.196,1.08,-1.0
-1.54,0.685,-1.0
-1.24,1.14,-1.0
-0.615,-0.97,-1.0
-0.524,-0.857,-1.0
-0.504,1.03,-1.0
1.18,0.424,-1.0
-2.06,0.392,-1.0
-1.02,-1.29,-1.0
-0.66,0.965,-1.0
0.343,-1.14,-1.0
-0.431,1.21,-1.0
0.379,-0.755,-1.0
0.183,-1.16,-1.0
0.977,0.597,-1.0
-0.52,1.35,-1.0
0.309,-1.03,-1.0
1.22,1.04,-1.0
-0.369,-0.965,-1.0
0.778,0.952,-1.0
-1.2,0.455,-1.0
0.0428,-1.04,-1.0
-0.617,-0.792,-1.0
-0.38,-1.34,-1.0
-0.432,1.13,-1.0
0.47,1.21,-1.0
0.517,1.46,-1.0
0.782,1.8,-1.0
-0.114,-1.5,-1.0
1.17,1.28,-1.0
-1.04,-1.42,-1.0
-0.108,-1.3,-1.0
0.722,0.153,-1.0
-0.625,-1.14,-1.0
-1.48,0.944,-1.0
-0.242,-1.47,-1.0
1.25,-0.202,-1.0
-1.06,-0.881,-1.0
0.651,-1.08,-1.0
1.44,0.276,-1.0
1.79,-0.834,-1.0
0.0624,-1.05,-1.0
-0.855,1.44,-1.0
0.299,1.56,-1.0
-1.82,0.474,-1.0
0.335,1.95,-1.0
-0.334,1.63,-1.0
-1.03,1.31,-1.0
-1.57,0.679,-1.0
0.829,1.56,-1.0
-1.2,0.932,-1.0
-1.23,-0.977,-1.0
-0.307,0.938,-1.0
-0.613,1.1,-1.0
1.19,0.594,-1.0
1.17,1.37,-1.0
0.918,0.82,-1.0
-0.226,-1.09,-1.0
0.974,0.898,-1.0
-0.943,-1.26,-1.0
-0.511,-0.734,-1.0
1.29,-0.12,-1.0
0.52,1.21,-1.0
-1.55,0.386,-1.0
-0.689,-1.45,-1.0
1.29,0.622,-1.0
0.291,1.34,-1.0
0.275,1.18,-1.0
1.58,-0.468,-1.0
0.633,0.901,-1.0
-0.819,-0.943,-1.0
-0.603,1.3,-1.0
0.832,0.442,-1.0
-0.103,-1.71,-1.0
1.29,0.337,-1.0
1.47,-0.531,-1.0
-0.416,-0.941,-1.0
-0.747,-0.72,-1.0
-0.741,0.979,-1.0
-0.304,1.5,-1.0
-0.429,1.13,-1.0
1.01,0.446,-1.0
-0.623,1.24,-1.0
0.745,0.681,-1.0
0.814,0.817,-1.0
-1.46,1.11,-1.0
0.56,-1.02,-1.0
-1.25,-1.28,-1.0
1.26,0.144,-1.0
1.02,0.858,-1.0
-1.08,1.31,-1.0
-0.961,1.0,-1.0
0.1,-1.48,-1.0
-0.704,1.46,-1.0
-1.74,0.254,-1.0
-1.52,0.506,-1.0
0.726,0.289,-1.0
1.54,-0.749,-1.0
-0.52,-1.17,-1.0
1.16,0.598,-1.0
1.02,0.976,-1.0
1.37,0.219,-1.0
0.942,0.248,-1.0
0.304,1.61,-1.0
0.477,0.791,-1.0
-0.376,1.33,-1.0
0.126,-1.08,-1.0
-0.55,-1.07,-1.0
0.101,-1.39,-1.0
1.1,0.604,-1.0
1.63,-0.539,-1.0
-1.2,-1.4,-1.0
1.29,0.488,-1.0
1.18,0.614,-1.0
-0.951,1.39,-1.0
0.0131,-0.969,-1.0
0.545,1.28,-1.0
0.485,0.635,-1.0
0.132,-1.49,-1.0
-0.17,1.18,-1.0
1.87,-1.16,-1.0
-0.84,-1.16,-1.0
1.28,-0.588,-1.0
0.546,-1.12,-1.0
0.342,-0.701,-1.0
-0.477,-1.25,-1.0
-0.598,-1.35,-1.0
