@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.233,0.824,2.218,-0.694,0.388,0
0.174,1.058,2.666,-0.748,0.448,0
0.379,0.911,2.528,-0.584,0.518,0
0.35,1.239,2.361,-0.652,0.566,0
0.334,1.478,2.134,-0.654,0.593,0
0.392,1.371,2.552,-0.6,0.559,0
0.271,1.024,2.694,-0.854,0.656,0
0.266,1.055,2.807,-0.819,0.0,0
0.293,1.058,2.634,-0.756,0.0,0
0.17,0.986,2.489,-0.633,0.0,0
0.216,1.037,2.259,-0.65,0.0,0
0.249,1.066,2.355,-0.791,0.0,0
0.27,1.184,2.32,-0.609,0.0,0
0.391,1.276,2.268,-0.721,0.0,0
0.311,1.393,2.473,-0.666,0.0,0
0.265,1.313,2.753,-0.78,0.0,0
0.371,1.042,2.799,-0.786,0.0,0
0.233,1.128,2.685,-0.952,0.0,0
0.283,1.008,2.195,-0.895,0.0,0
0.203,1.205,2.009,-0.546,0.0,0
0.203,1.185,1.777,-0.6,0.0,0
0.162,1.153,1.582,-0.687,0.0,0
0.189,1.169,1.42,-0.406,0.0,0
0.303,1.571,1.285,-0.488,0.0,0
0.372,1.829,1.163,-0.44,0.0,0
0.586,2.283,1.34,-0.367,-0.168,0
0.749,2.499,1.538,-0.428,-0.219,0
0.711,2.712,1.415,-0.44,-0.2,0
0.563,2.441,1.527,-0.485,0.0,0
0.662,2.223,1.825,-0.417,-0.239,0
0.515,2.105,1.592,-0.564,0.0,0
0.33,1.541,1.985,-0.539,0.0,0
0.218,1.463,1.531,-0.523,0.0,0
0.231,1.302,1.354,-0.474,-0.239,0
0.148,1.153,1.199,-0.34,-0.169,0
0.366,1.494,1.248,-0.413,-0.182,0
0.398,1.769,1.494,-0.521,-0.282,0
0.386,1.576,1.853,-0.535,-0.264,0
0.184,1.246,1.751,-0.499,-0.21,0
0.187,1.129,1.521,-0.565,-0.21,0
0.204,1.385,1.795,-0.612,-0.283,0
0.257,1.15,1.834,-0.751,-0.301,0
0.143,0.979,1.945,-0.612,-0.261,0
0.178,1.152,1.846,-0.477,-0.201,0
0.316,1.008,1.844,-0.54,-0.305,0
0.48,1.042,1.914,-0.442,-0.221,0
0.339,0.933,1.327,-0.334,-0.194,0
0.131,0.858,1.839,-0.834,-0.411,0
0.172,0.894,2.246,-0.842,-0.441,0
0.236,1.053,2.285,-0.652,-0.303,0
0.4,0.994,2.373,-0.643,-0.369,0
0.278,0.949,2.609,-0.656,-0.315,0
0.279,1.209,2.547,-0.772,-0.377,0
0.289,1.235,2.536,-0.661,-0.358,0
0.283,1.085,2.7,-0.753,-0.405,0
0.279,1.213,2.769,-0.858,-0.372,0
0.249,1.297,2.72,-0.722,-0.384,0
0.284,1.424,2.617,-0.685,-0.308,0
0.262,1.304,2.382,-0.794,-0.416,0
0.359,1.057,2.371,-0.781,-0.393,0
0.395,0.914,2.53,-0.813,-0.314,0
0.364,0.859,2.071,-0.622,-0.32,0
0.264,1.064,2.082,-0.627,-0.305,0
