@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.2,0.561,2.212,-0.644,0.327,0
0.301,1.011,2.416,-0.696,0.379,0
0.234,0.854,2.599,-0.725,0.549,0
0.421,1.055,2.305,-0.547,0.344,0
0.247,1.17,2.051,-0.56,0.573,0
0.262,1.54,2.029,-0.76,0.65,0
0.237,1.009,2.565,-0.848,0.614,0
0.341,1.007,2.908,-0.772,0.391,0
0.25,1.051,2.859,-0.724,0.0,0
0.286,1.034,2.5,-0.732,0.0,0
0.157,0.985,2.493,-0.747,0.0,0
0.191,1.054,2.259,-0.708,0.0,0
0.252,1.133,2.402,-0.701,0.0,0
0.243,1.265,2.289,-0.524,0.0,0
0.405,1.153,2.333,-0.772,0.0,0
0.212,1.31,2.543,-0.806,0.0,0
0.279,1.395,2.985,-0.752,0.0,0
0.22,1.054,2.588,-0.85,0.0,0
0.237,1.014,2.321,-0.849,0.0,0
0.242,0.859,2.259,-0.688,0.0,0
0.21,1.195,1.902,-0.557,0.0,0
0.211,1.067,1.741,-0.564,0.0,0
0.178,1.103,1.556,-0.458,0.0,0
0.206,1.328,1.4,-0.406,0.0,0
0.365,1.607,1.354,-0.462,0.0,0
0.511,1.961,1.2,-0.342,0.0,0
0.706,2.348,1.569,-0.378,-0.173,0
0.541,2.446,1.583,-0.44,-0.212,0
0.43,2.588,1.361,-0.372,-0.195,0
0.782,2.546,1.536,-0.43,0.0,0
0.655,2.031,1.617,-0.39,-0.19,0
0.279,1.879,1.856,-0.597,0.0,0
0.308,1.441,1.887,-0.593,0.0,0
0.253,1.317,1.506,-0.454,-0.214,0
0.159,1.123,1.377,-0.459,-0.178,0
0.223,1.357,1.34,-0.372,-0.238,0
0.323,1.76,1.394,-0.406,-0.241,0
0.597,1.624,1.5,-0.473,-0.197,0
0.332,1.406,1.79,-0.444,-0.255,0
0.205,1.163,1.643,-0.499,-0.2,0
0.227,1.27,1.582,-0.591,-0.315,0
0.199,1.424,1.878,-0.653,-0.339,0
0.213,1.071,2.003,-0.609,-0.229,0
0.207,1.141,1.935,-0.548,-0.229,0
0.267,1.123,1.753,-0.485,-0.25,0
0.412,1.1,1.979,-0.533,-0.241,0
0.466,1.018,1.778,-0.431,-0.202,0
0.094,0.926,1.599,-0.563,-0.305,0
0.317,0.804,1.952,-0.885,-0.378,0
0.136,0.922,2.224,-0.738,-0.322,0
0.185,0.932,2.296,-0.612,-0.258,0
0.371,0.961,2.531,-0.704,-0.379,0
0.258,0.894,2.718,-0.68,-0.338,0
0.185,1.098,2.485,-0.698,-0.39,0
0.221,1.146,2.658,-0.742,-0.419,0
0.325,1.122,2.831,-0.798,-0.366,0
0.313,1.268,2.852,-0.841,-0.445,0
0.22,1.291,2.661,-0.639,-0.415,0
0.183,1.354,2.581,-0.754,-0.324,0
0.269,1.13,2.209,-0.786,-0.323,0
0.292,1.056,2.459,-0.652,-0.338,0
0.432,1.071,2.327,-0.592,-0.313,0
0.235,0.966,2.033,-0.638,-0.266,0
0.35,1.186,2.138,-0.584,-0.272,0
-0.114,1.272,2.177,-0.644,-0.36,0
-0.126,1.2,1.508,-0.545,0.0,0
0.205,1.266,1.981,-0.874,0.0,0
0.333,1.453,2.313,-0.639,0.0,0
0.326,1.658,2.22,-0.567,0.0,0
0.229,1.118,1.829,-0.555,0.0,0
0.281,0.867,1.923,-0.525,0.0,0
0.124,0.755,2.184,-0.89,0.0,0
0.249,1.147,3.108,-0.844,0.0,0
0.299,1.503,2.744,-0.632,0.0,0
0.364,1.876,2.619,-0.613,-0.267,0
0.531,2.018,2.318,-0.568,-0.291,0
0.479,2.219,2.076,-0.524,-0.247,0
0.464,1.792,2.176,-0.517,-0.327,0
0.321,1.523,2.036,-0.577,-0.398,0
0.208,1.306,1.854,-0.784,-0.537,0
0.14,0.847,2.251,-0.703,-0.562,0
0.388,0.855,2.533,-0.636,-0.546,0
0.279,0.892,2.474,-0.53,-0.307,0
0.639,1.201,1.963,-0.682,-0.242,0
0.391,1.762,1.66,-0.448,0.0,0
