@RELATION myRel

@ATTRIBUTE Aa NUMERIC
@ATTRIBUTE Ao NUMERIC
@ATTRIBUTE Dcl NUMERIC
@ATTRIBUTE Iy NUMERIC
@ATTRIBUTE Sh NUMERIC
@ATTRIBUTE Class {0, 1}

@DATA
0.199,0.548,2.208,-0.621,0.324,0
0.4,1.025,2.406,-0.789,0.429,0
0.233,0.86,2.49,-0.71,0.547,0
0.349,1.248,2.225,-0.7,0.49,0
0.317,1.318,1.996,-0.616,0.472,0
0.277,1.333,2.228,-0.536,0.551,0
0.227,0.987,2.503,-0.842,0.616,0
0.334,1.01,2.931,-0.842,0.0,0
0.277,1.079,2.757,-0.688,0.0,0
0.176,0.977,2.473,-0.7,0.0,0
0.219,1.027,2.399,-0.68,0.0,0
0.155,1.012,2.279,-0.747,0.0,0
0.231,1.136,2.493,-0.638,0.0,0
0.376,1.259,2.226,-0.598,0.0,0
0.271,1.286,2.305,-0.702,0.0,0
0.33,1.209,2.637,-0.73,0.0,0
0.301,1.249,2.831,-0.685,0.0,0
0.223,1.086,2.658,-0.944,0.0,0
0.243,1.017,2.191,-0.814,0.0,0
0.18,0.944,2.27,-0.601,0.0,0
0.212,1.23,1.895,-0.561,0.0,0
0.183,1.136,1.711,-0.517,0.0,0
0.15,1.138,1.605,-0.456,0.0,0
0.259,1.389,1.396,-0.523,0.0,0
0.238,1.615,1.22,-0.487,0.0,0
0.517,2.071,1.352,-0.423,0.0,0
0.723,2.415,1.512,-0.365,-0.17,0
0.588,2.574,1.48,-0.412,-0.188,0
0.434,2.539,1.364,-0.374,-0.193,0
0.587,2.481,1.733,-0.49,-0.215,0
0.642,2.01,1.612,-0.395,0.0,0
0.288,1.931,1.916,-0.618,0.0,0
0.214,1.433,1.771,-0.542,0.0,0
0.232,1.298,1.482,-0.482,-0.259,0
0.195,1.18,1.363,-0.373,-0.152,0
0.316,1.385,1.342,-0.401,-0.204,0
0.337,1.81,1.486,-0.41,-0.259,0
0.486,1.584,1.699,-0.48,-0.233,0
0.3,1.396,1.661,-0.459,-0.214,0
0.171,1.122,1.58,-0.47,-0.204,0
0.302,1.281,1.743,-0.659,-0.302,0
0.181,1.368,1.869,-0.675,-0.421,0
0.218,1.072,1.943,-0.603,-0.226,0
0.27,1.134,1.964,-0.518,-0.235,0
0.168,1.108,1.706,-0.483,-0.201,0
0.41,1.009,2.024,-0.555,-0.271,0
0.477,0.953,1.616,-0.338,-0.166,0
0.312,0.862,1.637,-0.686,-0.423,0
0.255,1.0,2.106,-0.959,-0.365,0
0.14,0.996,2.233,-0.721,-0.281,0
0.388,0.955,2.328,-0.656,-0.296,0
0.386,0.998,2.518,-0.665,-0.302,0
0.269,1.117,2.659,-0.671,-0.328,0
0.184,1.203,2.459,-0.691,-0.384,0
0.219,1.133,2.676,-0.736,-0.438,0
0.308,1.127,2.844,-0.784,-0.377,0
0.289,1.29,2.774,-0.784,-0.337,0
0.348,1.344,2.678,-0.698,-0.321,0
0.211,1.402,2.503,-0.768,-0.337,0
0.192,1.173,2.29,-0.695,-0.374,0
0.24,1.068,2.387,-0.747,-0.297,0
0.4,0.945,2.202,-0.557,-0.306,0
0.251,1.02,2.104,-0.668,-0.246,0
0.401,1.159,2.064,-0.69,-0.308,0
-0.188,1.167,2.054,-0.745,-0.373,0
-0.147,1.393,1.573,-0.543,0.0,0
0.266,1.268,2.178,-0.809,0.0,0
0.357,1.56,2.372,-0.658,0.0,0
0.456,1.513,2.206,-0.545,0.0,0
0.179,1.095,1.834,-0.514,0.0,0
0.299,0.891,1.871,-0.51,0.0,0
-0.134,1.057,2.379,-0.822,0.0,0
0.252,1.139,3.111,-0.832,0.0,0
0.415,1.521,2.727,-0.666,-0.323,0
0.505,1.929,2.448,-0.626,-0.321,0
0.606,2.024,2.367,-0.615,-0.322,0
0.513,2.237,2.028,-0.496,-0.249,0
0.447,1.651,2.21,-0.547,-0.289,0
0.336,1.536,2.01,-0.623,-0.394,0
0.159,1.028,1.872,-0.768,-0.553,0
0.139,0.838,2.266,-0.714,-0.61,0
0.265,0.819,2.521,-0.627,-0.34,0
0.279,0.892,2.474,-0.531,-0.307,0
0.714,1.3,1.784,-0.571,-0.206,0
0.422,1.875,1.571,-0.461,0.272,0
